rec_art,onrp,bfsnr,plz_typ,postleitzahl,plz_zz,plz6,gplz,ortbez18,ortbez27,kanton,sprachcode,sprachcode_abw,briefz_durch,gilt_ab_dat,plz_briefzust,plz_coff
1,2140,921,20,3633,0,363300,3633,Amsoldingen,Amsoldingen,BE,1,,2101,21.05.86,360060,J
1,2145,942,20,3645,0,364500,3645,Gwatt (Thun),Gwatt (Thun),BE,1,,2101,01.06.89,360060,J
1,2147,767,20,3647,0,364700,3647,Reutigen,Reutigen,BE,1,,2186,21.05.86,375300,J
1,2149,934,10,3653,0,365300,3653,Oberhofen Thun'see,Oberhofen am Thunersee,BE,1,,2150,15.06.94,365400,J
1,2150,938,10,3654,0,365400,3654,Gunten,Gunten,BE,1,,2150,21.05.86,365400,J
1,2158,768,10,3700,0,370000,3700,Spiez,Spiez,BE,1,,7329,21.05.86,370060,J
1,2159,768,20,3702,0,370200,3702,Hondrich,Hondrich,BE,1,,7329,24.03.99,370060,J
1,2161,562,20,3703,41,370341,3703,Aeschiried,Aeschiried,BE,1,,2170,01.10.88,371300,J
1,2164,585,10,3706,0,370600,3706,Leissigen,Leissigen,BE,1,,7281,04.09.96,380060,J
1,2166,562,20,3711,0,371100,3711,Emdthal,Emdthal,BE,1,,2170,12.04.00,371300,J
1,2171,563,10,3714,0,371400,3714,Frutigen,Frutigen,BE,1,,7269,18.08.97,371460,J
1,2185,769,20,3752,0,375200,3752,Wimmis,Wimmis,BE,1,,2186,21.05.86,375300,J
1,2186,762,10,3753,0,375300,3753,Oey,Oey,BE,1,,2186,21.05.86,375300,J
1,2188,762,20,3754,0,375400,3754,Diemtigen,Diemtigen,BE,1,,2186,21.05.86,375300,J
1,2192,763,20,3758,0,375800,3758,Latterbach,Latterbach,BE,1,,2186,21.05.86,375300,J
