"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 2257","1","0","1","0","0","0","0","0","1","0","1","0","0","0",""
"... 2300","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2307","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2324","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 2351","0","0","2","0","0","0","0","0","0","0","0","0","4","0",""
"... 2420","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2500","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 2510","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 2750","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3000","2","0","2","0","0","0","1","0","0","0","0","0","1","0",""
"... 3020","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3040","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3121","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3177","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3215","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 3332","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 3360","1","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 3378","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 3460","0","0","2","0","0","0","0","0","0","0","0","0","0","0",""
"... 3530","0","0","0","0","0","0","0","0","1","0","4","0","0","0",""
"... 3660","0","0","0","0","0","0","3","0","1","0","1","0","1","0",""
"... 3700","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3762","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 3800","1","0","4","0","1","0","0","0","0","0","3","0","1","0",""
"... 4000","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4020","0","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 4040","3","0","3","0","2","0","0","0","3","0","2","0","2","0",""
"... 4203","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 4218","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 4414","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 4420","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 4580","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 4690","1","0","1","0","0","0","1","0","2","0","0","0","0","0",""
"... 4755","1","0","1","0","0","0","0","0","1","0","2","0","1","0",""
"... 4770","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 4814","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4820","0","0","0","0","1","0","2","0","3","0","0","0","0","0",""
"... 4850","1","0","0","0","1","0","0","0","1","0","1","0","0","0",""
"... 4880","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 5000","5","0","0","0","1","0","4","0","2","0","0","0","0","0",""
"... 5020","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5043","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 5144","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 5161","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 5462","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 5476","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5600","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 5700","0","0","1","0","1","0","0","0","0","0","1","0","1","0",""
"... 5710","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 5743","1","0","0","0","1","0","0","0","0","0","0","0","2","0",""
"... 5760","0","0","0","0","0","0","0","0","2","0","2","0","1","0",""
"... 5800","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6000","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6020","0","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 6046","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 6050","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6060","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 6100","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 6104","0","0","0","0","0","0","1","0","1","0","1","0","2","0",""
"... 6166","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6200","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 6250","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6310","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 6328","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6330","0","0","2","0","1","0","1","0","3","0","2","0","1","0",""
"... 6334","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6336","2","0","1","0","1","0","2","0","0","0","0","0","2","0",""
"... 6429","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6433","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6500","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 6550","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6690","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6708","0","0","3","0","1","0","0","0","0","0","0","0","2","0",""
"... 6754","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 6830","1","0","2","0","0","0","0","0","0","0","1","0","0","0",""
"... 6850","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6900","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 6971","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6985","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 7000","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7020","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7030","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 7033","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7130","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7141","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 7201","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 7262","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7332","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7440","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7461","0","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 7590","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7623","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7631","1","0","1","0","1","0","0","0","1","0","0","0","0","0",""
"... 7700","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 8000","0","0","0","0","0","0","3","0","1","0","0","0","1","0",""
"... 8001","280","0.004","288","0.004","301","0.004","324","0.005","312","0.005","307","0.005","278","0.004",""
"... 8002","259","0.004","275","0.004","283","0.004","259","0.004","246","0.004","256","0.004","233","0.003",""
"... 8003","1021","0.015","1087","0.016","1044","0.016","1004","0.015","1123","0.017","1075","0.016","1021","0.015",""
"... 8004","1542","0.023","1488","0.022","1500","0.022","1479","0.022","1515","0.023","1546","0.023","1549","0.023",""
"... 8005","1428","0.021","1380","0.021","1349","0.02","1456","0.022","1424","0.021","1402","0.021","1377","0.021",""
"... 8006","518","0.008","485","0.007","506","0.008","509","0.008","502","0.007","510","0.008","455","0.007",""
"... 8008","514","0.008","466","0.007","489","0.007","519","0.008","485","0.007","461","0.007","484","0.007",""
"... 8010","1","0","0","0","1","0","2","0","1","0","0","0","0","0",""
"... 8020","2","0","2","0","2","0","0","0","1","0","0","0","1","0",""
"... 8032","484","0.007","432","0.006","475","0.007","403","0.006","454","0.007","436","0.007","455","0.007",""
"... 8037","748","0.011","704","0.01","729","0.011","730","0.011","689","0.01","726","0.011","713","0.011",""
"... 8038","708","0.011","705","0.01","753","0.011","744","0.011","739","0.011","745","0.011","719","0.011",""
"... 8041","423","0.006","401","0.006","388","0.006","400","0.006","389","0.006","432","0.006","398","0.006",""
"... 8044","189","0.003","182","0.003","193","0.003","210","0.003","200","0.003","200","0.003","188","0.003",""
"... 8045","553","0.008","552","0.008","513","0.008","568","0.008","533","0.008","514","0.008","540","0.008",""
"... 8046","1507","0.022","1464","0.022","1458","0.022","1514","0.022","1511","0.023","1492","0.022","1528","0.023",""
"... 8047","910","0.014","939","0.014","935","0.014","886","0.013","909","0.014","925","0.014","958","0.014",""
"... 8048","1463","0.022","1516","0.023","1549","0.023","1514","0.022","1469","0.022","1432","0.021","1535","0.023",""
"... 8049","845","0.013","923","0.014","828","0.012","883","0.013","839","0.013","814","0.012","771","0.012",""
"... 8050","1467","0.022","1526","0.023","1490","0.022","1587","0.024","1519","0.023","1550","0.023","1507","0.023",""
"... 8051","1561","0.023","1654","0.025","1523","0.023","1584","0.024","1569","0.023","1571","0.023","1621","0.024",""
"... 8052","1202","0.018","1160","0.017","1118","0.017","1210","0.018","1197","0.018","1152","0.017","1132","0.017",""
"... 8053","315","0.005","392","0.006","361","0.005","347","0.005","370","0.006","338","0.005","329","0.005",""
"... 8055","970","0.014","942","0.014","889","0.013","955","0.014","986","0.015","897","0.013","968","0.014",""
"... 8057","907","0.014","901","0.013","944","0.014","947","0.014","891","0.013","932","0.014","889","0.013",""
"... 8063","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 8064","258","0.004","277","0.004","248","0.004","248","0.004","262","0.004","258","0.004","280","0.004",""
"... 8102","302","0.005","333","0.005","297","0.004","321","0.005","304","0.005","316","0.005","303","0.005",""
"... 8103","125","0.002","147","0.002","136","0.002","115","0.002","141","0.002","119","0.002","134","0.002",""
"... 8104","66","0.001","69","0.001","64","0.001","65","0.001","86","0.001","67","0.001","87","0.001",""
"... 8105","694","0.01","741","0.011","718","0.011","676","0.01","672","0.01","746","0.011","664","0.01",""
"... 8106","299","0.004","260","0.004","275","0.004","308","0.005","273","0.004","303","0.005","304","0.005",""
"... 8107","285","0.004","278","0.004","319","0.005","315","0.005","304","0.005","329","0.005","300","0.004",""
"... 8108","196","0.003","208","0.003","193","0.003","162","0.002","218","0.003","199","0.003","199","0.003",""
"... 8110","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 8112","115","0.002","103","0.002","104","0.002","91","0.001","103","0.002","96","0.001","110","0.002",""
"... 8113","35","0.001","21","0","28","0","31","0","35","0.001","28","0","28","0",""
"... 8114","86","0.001","96","0.001","71","0.001","87","0.001","77","0.001","87","0.001","91","0.001",""
"... 8115","20","0","17","0","16","0","15","0","25","0","17","0","24","0",""
"... 8117","197","0.003","185","0.003","186","0.003","151","0.002","182","0.003","208","0.003","199","0.003",""
"... 8118","52","0.001","59","0.001","64","0.001","74","0.001","58","0.001","62","0.001","49","0.001",""
"... 8121","91","0.001","74","0.001","85","0.001","91","0.001","85","0.001","87","0.001","77","0.001",""
"... 8122","83","0.001","68","0.001","62","0.001","76","0.001","49","0.001","59","0.001","57","0.001",""
"... 8123","63","0.001","68","0.001","72","0.001","82","0.001","68","0.001","74","0.001","66","0.001",""
"... 8124","54","0.001","48","0.001","50","0.001","52","0.001","37","0.001","46","0.001","52","0.001",""
"... 8125","123","0.002","139","0.002","133","0.002","119","0.002","121","0.002","140","0.002","133","0.002",""
"... 8126","132","0.002","126","0.002","119","0.002","108","0.002","115","0.002","101","0.002","104","0.002",""
"... 8127","130","0.002","103","0.002","139","0.002","113","0.002","119","0.002","114","0.002","127","0.002",""
"... 8132","215","0.003","198","0.003","224","0.003","210","0.003","209","0.003","213","0.003","243","0.004",""
"... 8133","55","0.001","51","0.001","47","0.001","62","0.001","61","0.001","47","0.001","71","0.001",""
"... 8134","664","0.01","746","0.011","751","0.011","712","0.011","681","0.01","720","0.011","739","0.011",""
"... 8135","271","0.004","278","0.004","291","0.004","261","0.004","275","0.004","263","0.004","268","0.004",""
"... 8136","91","0.001","95","0.001","87","0.001","106","0.002","81","0.001","86","0.001","84","0.001",""
"... 8142","91","0.001","80","0.001","92","0.001","72","0.001","70","0.001","84","0.001","87","0.001",""
"... 8143","97","0.001","94","0.001","83","0.001","86","0.001","87","0.001","102","0.002","100","0.001",""
"... 8152","1161","0.017","1152","0.017","1152","0.017","1105","0.016","1156","0.017","1128","0.017","1106","0.017",""
"... 8153","397","0.006","453","0.007","438","0.007","427","0.006","444","0.007","437","0.007","411","0.006",""
"... 8154","420","0.006","399","0.006","430","0.006","390","0.006","394","0.006","446","0.007","365","0.005",""
"... 8155","368","0.005","353","0.005","358","0.005","355","0.005","332","0.005","345","0.005","331","0.005",""
"... 8156","65","0.001","76","0.001","64","0.001","80","0.001","71","0.001","77","0.001","77","0.001",""
"... 8157","249","0.004","247","0.004","278","0.004","263","0.004","251","0.004","273","0.004","258","0.004",""
"... 8158","8","0","11","0","15","0","10","0","14","0","10","0","16","0",""
"... 8162","133","0.002","154","0.002","118","0.002","143","0.002","143","0.002","148","0.002","117","0.002",""
"... 8164","19","0","29","0","28","0","25","0","19","0","30","0","11","0",""
"... 8165","135","0.002","128","0.002","154","0.002","138","0.002","154","0.002","122","0.002","145","0.002",""
"... 8166","104","0.002","119","0.002","104","0.002","112","0.002","98","0.001","114","0.002","89","0.001",""
"... 8172","231","0.003","219","0.003","192","0.003","226","0.003","244","0.004","232","0.003","239","0.004",""
"... 8173","60","0.001","57","0.001","68","0.001","66","0.001","80","0.001","79","0.001","65","0.001",""
"... 8174","65","0.001","57","0.001","59","0.001","58","0.001","63","0.001","42","0.001","61","0.001",""
"... 8175","22","0","30","0","21","0","21","0","17","0","24","0","29","0",""
"... 8180","1100","0.016","1122","0.017","1183","0.018","1117","0.017","1148","0.017","1039","0.015","1108","0.017",""
"... 8181","172","0.003","166","0.002","172","0.003","162","0.002","160","0.002","178","0.003","163","0.002",""
"... 8182","61","0.001","68","0.001","72","0.001","73","0.001","72","0.001","74","0.001","76","0.001",""
"... 8184","193","0.003","173","0.003","219","0.003","220","0.003","193","0.003","199","0.003","207","0.003",""
"... 8185","114","0.002","120","0.002","90","0.001","120","0.002","103","0.002","121","0.002","93","0.001",""
"... 8187","72","0.001","98","0.001","92","0.001","90","0.001","102","0.002","86","0.001","90","0.001",""
"... 8192","207","0.003","223","0.003","204","0.003","210","0.003","205","0.003","186","0.003","247","0.004",""
"... 8193","177","0.003","188","0.003","175","0.003","177","0.003","191","0.003","177","0.003","168","0.003",""
"... 8194","29","0","27","0","36","0.001","25","0","27","0","22","0","27","0",""
"... 8195","21","0","12","0","14","0","8","0","11","0","15","0","14","0",""
"... 8196","48","0.001","51","0.001","45","0.001","49","0.001","32","0","45","0.001","42","0.001",""
"... 8197","190","0.003","198","0.003","201","0.003","193","0.003","191","0.003","180","0.003","173","0.003",""
"... 8200","31","0","56","0.001","48","0.001","41","0.001","38","0.001","42","0.001","44","0.001",""
"... 8203","4","0","3","0","4","0","2","0","3","0","8","0","6","0",""
"... 8207","8","0","12","0","4","0","8","0","12","0","5","0","6","0",""
"... 8208","0","0","1","0","1","0","0","0","1","0","1","0","0","0",""
"... 8212","35","0.001","32","0","28","0","40","0.001","25","0","28","0","34","0.001",""
"... 8213","7","0","6","0","5","0","3","0","4","0","5","0","4","0",""
"... 8214","0","0","2","0","0","0","1","0","0","0","2","0","0","0",""
"... 8215","4","0","2","0","6","0","5","0","5","0","5","0","4","0",""
"... 8217","0","0","1","0","1","0","1","0","2","0","0","0","3","0",""
"... 8219","0","0","0","0","1","0","1","0","2","0","0","0","0","0",""
"... 8222","14","0","3","0","6","0","9","0","3","0","4","0","4","0",""
"... 8224","0","0","2","0","3","0","2","0","1","0","3","0","1","0",""
"... 8225","0","0","2","0","0","0","2","0","0","0","0","0","1","0",""
"... 8226","2","0","7","0","7","0","5","0","4","0","4","0","1","0",""
"... 8231","0","0","1","0","0","0","2","0","0","0","2","0","1","0",""
"... 8232","1","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 8233","1","0","1","0","1","0","0","0","0","0","1","0","0","0",""
"... 8234","0","0","1","0","0","0","2","0","1","0","0","0","1","0",""
"... 8235","1","0","1","0","0","0","1","0","1","0","3","0","0","0",""
"... 8236","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 8239","3","0","0","0","2","0","1","0","5","0","3","0","2","0",""
"... 8240","1","0","2","0","3","0","4","0","1","0","3","0","0","0",""
"... 8241","0","0","1","0","0","0","0","0","1","0","1","0","0","0",""
"... 8242","0","0","3","0","1","0","0","0","1","0","1","0","1","0",""
"... 8245","96","0.001","94","0.001","101","0.002","111","0.002","106","0.002","102","0.002","94","0.001",""
"... 8246","65","0.001","34","0.001","53","0.001","63","0.001","51","0.001","46","0.001","46","0.001",""
"... 8247","33","0","33","0","44","0.001","46","0.001","51","0.001","40","0.001","31","0",""
"... 8248","41","0.001","34","0.001","32","0","49","0.001","45","0.001","32","0","46","0.001",""
"... 8252","4","0","2","0","3","0","4","0","5","0","5","0","0","0",""
"... 8253","4","0","1","0","5","0","6","0","1","0","4","0","1","0",""
"... 8254","2","0","0","0","3","0","1","0","2","0","3","0","0","0",""
"... 8255","1","0","1","0","1","0","2","0","1","0","0","0","0","0",""
"... 8259","4","0","0","0","1","0","0","0","1","0","5","0","1","0",""
"... 8260","5","0","2","0","3","0","1","0","6","0","4","0","3","0",""
"... 8261","1","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 8262","0","0","4","0","0","0","1","0","1","0","2","0","0","0",""
"... 8264","3","0","2","0","0","0","3","0","0","0","0","0","1","0",""
"... 8265","0","0","1","0","0","0","1","0","1","0","1","0","0","0",""
"... 8266","5","0","3","0","3","0","4","0","0","0","4","0","2","0",""
"... 8267","0","0","2","0","0","0","0","0","1","0","0","0","0","0",""
"... 8269","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 8272","3","0","1","0","0","0","3","0","3","0","3","0","3","0",""
"... 8274","2","0","1","0","4","0","0","0","1","0","1","0","1","0",""
