"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_234567","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=2.844"
"... Sex#M","32693","0.475","32697","0.475","32747","0.477","32895","0.476","32800","0.478","32745","0.476","32500","0.474",""
"... Sex#W","36122","0.525","36117","0.525","35918","0.523","36169","0.524","35791","0.522","36035","0.524","36028","0.526",""
"zivilstand","","","","","","","","","","","","","","","X2=52.164"
"... (null)","2","0","1","0","4","0","3","0","4","0","3","0","6","0",""
"... Civil stat#G","232","0.003","228","0.003","251","0.004","250","0.004","239","0.003","264","0.004","247","0.004",""
"... Civil stat#GGP","33","0","37","0.001","41","0.001","37","0.001","27","0","35","0.001","34","0",""
"... Civil stat#GPS","53","0.001","65","0.001","46","0.001","55","0.001","63","0.001","69","0.001","53","0.001",""
"... Civil stat#GRP","0","0","2","0","0","0","0","0","1","0","1","0","0","0",""
"... Civil stat#GTP","4","0","3","0","4","0","0","0","3","0","2","0","4","0",""
"... Civil stat#H","20461","0.297","20162","0.293","20125","0.293","20320","0.294","20039","0.292","20279","0.295","20021","0.292",""
"... Civil stat#L","38017","0.552","38162","0.555","38020","0.554","38299","0.555","37960","0.553","37896","0.551","37956","0.554",""
"... Civil stat#S","7025","0.102","7225","0.105","7188","0.105","7152","0.104","7257","0.106","7213","0.105","7226","0.105",""
"... Civil stat#U","4","0","3","0","2","0","0","0","1","0","2","0","0","0",""
"... Civil stat#W","2984","0.043","2926","0.043","2984","0.043","2948","0.043","2997","0.044","3016","0.044","2981","0.044",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=42.694"
"... (null)","49051","0.713","49191","0.715","48900","0.712","49051","0.71","48786","0.711","49149","0.715","48891","0.713",""
"... CHResidenc#A","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... CHResidenc#B","4985","0.072","4857","0.071","4932","0.072","5005","0.072","4956","0.072","4896","0.071","4770","0.07",""
"... CHResidenc#C","14565","0.212","14585","0.212","14649","0.213","14811","0.214","14659","0.214","14536","0.211","14678","0.214",""
"... CHResidenc#D","1","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... CHResidenc#F","167","0.002","138","0.002","145","0.002","166","0.002","156","0.002","148","0.002","150","0.002",""
"... CHResidenc#G","6","0","3","0","4","0","5","0","5","0","3","0","4","0",""
"... CHResidenc#L","34","0","36","0.001","33","0","24","0","27","0","44","0.001","33","0",""
"... CHResidenc#N","6","0","3","0","1","0","1","0","2","0","4","0","1","0",""
"hh_size","","","","","","","","","","","","","","","X2=50.715"
"... 1","31964","0.464","32007","0.465","31855","0.464","31854","0.461","32050","0.467","31735","0.461","31906","0.466",""
"... 2","10678","0.155","10742","0.156","10754","0.157","10697","0.155","10539","0.154","10684","0.155","10521","0.154",""
"... 3","8656","0.126","8627","0.125","8618","0.126","8624","0.125","8608","0.125","8669","0.126","8726","0.127",""
"... 4","11134","0.162","10926","0.159","11017","0.16","11291","0.163","11023","0.161","11237","0.163","11039","0.161",""
"... 5","4834","0.07","4981","0.072","4871","0.071","5014","0.073","4824","0.07","4916","0.071","4843","0.071",""
"... 6","1155","0.017","1134","0.016","1142","0.017","1158","0.017","1146","0.017","1139","0.017","1135","0.017",""
"... 7","249","0.004","250","0.004","259","0.004","265","0.004","247","0.004","269","0.004","219","0.003",""
"... 8","69","0.001","78","0.001","77","0.001","77","0.001","70","0.001","70","0.001","64","0.001",""
"... 9","31","0","26","0","28","0","35","0.001","30","0","23","0","35","0.001",""
"... 10","19","0","18","0","19","0","14","0","20","0","11","0","14","0",""
"... 11","11","0","13","0","13","0","17","0","21","0","17","0","12","0",""
"... 12","12","0","8","0","10","0","13","0","10","0","8","0","8","0",""
"... 13","3","0","4","0","2","0","5","0","3","0","2","0","6","0",""
"hasel","","","","","","","","","","","","","","","X2=12.307"
"... (null)","47225","0.686","47257","0.687","46998","0.684","47357","0.686","47072","0.686","47184","0.686","46899","0.684",""
"... 0","12355","0.18","12437","0.181","12349","0.18","12606","0.183","12375","0.18","12369","0.18","12269","0.179",""
"... 1","9235","0.134","9120","0.133","9318","0.136","9101","0.132","9144","0.133","9227","0.134","9360","0.137",""
"hassh","","","","","","","","","","","","","","","X2=11.5"
"... (null)","18471","0.268","18452","0.268","18431","0.268","18527","0.268","18721","0.273","18572","0.27","18539","0.271",""
"... 0","44604","0.648","44724","0.65","44620","0.65","44946","0.651","44273","0.645","44557","0.648","44483","0.649",""
"... 1","5740","0.083","5638","0.082","5614","0.082","5591","0.081","5597","0.082","5651","0.082","5506","0.08",""
"income_bucket","","","","","","","","","","","","","","","X2=14.704"
"... none","9811","0.349","9889","0.352","9823","0.354","9789","0.349","9784","0.353","9721","0.351","9635","0.351",""
"... <20'000","9661","0.344","9714","0.346","9574","0.345","9641","0.344","9595","0.346","9558","0.345","9519","0.346",""
"... 20'-40'000","5069","0.181","4985","0.177","4952","0.178","5087","0.181","4947","0.178","4927","0.178","4972","0.181",""
"... 40-60'000","2496","0.089","2537","0.09","2457","0.088","2527","0.09","2478","0.089","2456","0.089","2384","0.087",""
"... 60'-80'000","1035","0.037","973","0.035","976","0.035","1000","0.036","913","0.033","1007","0.036","976","0.036",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=46.659**"
"... none","36072","0.524","36126","0.525","36290","0.529","35879","0.52","35900","0.523","36359","0.529","35854","0.523",""
"... <20'000","13623","0.198","13417","0.195","13457","0.196","13571","0.196","13475","0.196","13152","0.191","13416","0.196",""
"... 20'-40'000","4744","0.069","4725","0.069","4577","0.067","4837","0.07","4705","0.069","4702","0.068","4854","0.071",""
"... 40-60'000","2988","0.043","3001","0.044","3031","0.044","3067","0.044","2960","0.043","3047","0.044","2966","0.043",""
"... 60'-80'000","2063","0.03","2221","0.032","2116","0.031","2232","0.032","2187","0.032","2166","0.031","2240","0.033",""
"... >80'000","9325","0.136","9324","0.135","9194","0.134","9478","0.137","9364","0.137","9354","0.136","9198","0.134",""
"plz4","","","","","","","","","","","","","","","X2=3696.275"
"... 0000","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 0101","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 0169","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 0630","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0650","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 0775","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1000","1","0","1","0","0","0","1","0","0","0","0","0","2","0",""
"... 1010","3","0","0","0","1","0","1","0","1","0","0","0","2","0",""
"... 1020","1","0","1","0","0","0","1","0","0","0","1","0","0","0",""
"... 1023","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1030","1","0","1","0","0","0","1","0","0","0","1","0","0","0",""
"... 1052","1","0","3","0","1","0","0","0","1","0","0","0","2","0",""
"... 1060","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 1070","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 1074","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1078","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1081","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1090","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 1120","2","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1122","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1133","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1147","1","0","0","0","1","0","1","0","1","0","0","0","2","0",""
"... 1157","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1160","0","0","0","0","1","0","0","0","2","0","0","0","0","0",""
"... 1170","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1180","0","0","0","0","2","0","1","0","1","0","1","0","1","0",""
"... 1200","2","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 1210","2","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1213","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1214","3","0","2","0","1","0","1","0","5","0","3","0","1","0",""
"... 1220","0","0","2","0","0","0","0","0","0","0","0","0","2","0",""
"... 1230","3","0","1","0","1","0","0","0","0","0","1","0","3","0",""
"... 1238","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 1300","1","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 1307","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1356","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1361","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1432","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1447","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1612","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 1800","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1801","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2000","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 2007","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2018","0","0","0","0","0","0","1","0","0","0","0","0","2","0",""
"... 2050","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2100","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 2200","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 2231","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
