"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_123456","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=5.374"
"... Sex#M","32511","0.475","32569","0.476","32814","0.477","32553","0.475","32883","0.479","32883","0.477","32864","0.473",""
"... Sex#W","35953","0.525","35921","0.524","35924","0.523","35955","0.525","35796","0.521","36073","0.523","36558","0.527",""
"zivilstand","","","","","","","","","","","","","","","X2=56.659"
"... (null)","7","0","3","0","3","0","1","0","4","0","3","0","2","0",""
"... Civil stat#G","244","0.004","230","0.003","247","0.004","224","0.003","257","0.004","254","0.004","255","0.004",""
"... Civil stat#GGP","32","0","37","0.001","28","0","31","0","40","0.001","37","0.001","39","0.001",""
"... Civil stat#GPS","68","0.001","55","0.001","56","0.001","53","0.001","45","0.001","66","0.001","61","0.001",""
"... Civil stat#GRP","0","0","0","0","0","0","2","0","1","0","1","0","0","0",""
"... Civil stat#GTP","3","0","4","0","3","0","4","0","2","0","2","0","2","0",""
"... Civil stat#H","20065","0.293","20104","0.294","20441","0.297","20204","0.295","20284","0.295","20204","0.293","20105","0.29",""
"... Civil stat#L","38035","0.556","37943","0.554","37808","0.55","37822","0.552","37936","0.552","38262","0.555","38504","0.555",""
"... Civil stat#S","7153","0.104","7078","0.103","7197","0.105","7216","0.105","7136","0.104","7138","0.104","7368","0.106",""
"... Civil stat#U","1","0","1","0","0","0","2","0","2","0","2","0","4","0",""
"... Civil stat#W","2856","0.042","3035","0.044","2955","0.043","2949","0.043","2972","0.043","2987","0.043","3082","0.044",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=57.08"
"... (null)","48823","0.713","48712","0.711","48947","0.712","48858","0.713","48973","0.713","49300","0.715","49406","0.712",""
"... CHResidenc#A","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... CHResidenc#B","4820","0.07","5036","0.074","4943","0.072","4994","0.073","4933","0.072","4826","0.07","4849","0.07",""
"... CHResidenc#C","14601","0.213","14556","0.213","14651","0.213","14480","0.211","14591","0.212","14631","0.212","14973","0.216",""
"... CHResidenc#D","1","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... CHResidenc#F","173","0.003","140","0.002","151","0.002","142","0.002","148","0.002","163","0.002","153","0.002",""
"... CHResidenc#G","3","0","9","0","4","0","1","0","7","0","1","0","5","0",""
"... CHResidenc#L","40","0.001","32","0","39","0.001","31","0","26","0","33","0","30","0",""
"... CHResidenc#N","3","0","4","0","3","0","2","0","1","0","2","0","3","0",""
"hh_size","","","","","","","","","","","","","","","X2=61.006"
"... 1","31689","0.463","31693","0.463","31862","0.464","31699","0.463","31967","0.465","32031","0.465","32430","0.467",""
"... 2","10489","0.153","10673","0.156","10712","0.156","10696","0.156","10646","0.155","10694","0.155","10705","0.154",""
"... 3","8670","0.127","8651","0.126","8741","0.127","8561","0.125","8615","0.125","8676","0.126","8614","0.124",""
"... 4","11055","0.161","11103","0.162","11051","0.161","11231","0.164","11080","0.161","11032","0.16","11115","0.16",""
"... 5","4958","0.072","4849","0.071","4836","0.07","4804","0.07","4896","0.071","4961","0.072","4979","0.072",""
"... 6","1151","0.017","1127","0.016","1170","0.017","1149","0.017","1094","0.016","1162","0.017","1156","0.017",""
"... 7","276","0.004","241","0.004","241","0.004","243","0.004","241","0.004","257","0.004","259","0.004",""
"... 8","76","0.001","72","0.001","66","0.001","62","0.001","68","0.001","81","0.001","80","0.001",""
"... 9","34","0","31","0","29","0","22","0","33","0","23","0","36","0.001",""
"... 10","22","0","19","0","14","0","16","0","13","0","14","0","17","0",""
"... 11","23","0","15","0","10","0","15","0","12","0","12","0","17","0",""
"... 12","14","0","12","0","2","0","9","0","11","0","10","0","11","0",""
"... 13","7","0","4","0","4","0","1","0","3","0","3","0","3","0",""
"hasel","","","","","","","","","","","","","","","X2=7.876"
"... (null)","46948","0.686","46898","0.685","47314","0.688","46883","0.684","47230","0.688","47225","0.685","47494","0.684",""
"... 0","12313","0.18","12442","0.182","12240","0.178","12458","0.182","12269","0.179","12425","0.18","12613","0.182",""
"... 1","9203","0.134","9150","0.134","9184","0.134","9167","0.134","9180","0.134","9306","0.135","9315","0.134",""
"hassh","","","","","","","","","","","","","","","X2=7.418"
"... (null)","18386","0.269","18350","0.268","18613","0.271","18533","0.271","18615","0.271","18485","0.268","18731","0.27",""
"... 0","44374","0.648","44558","0.651","44502","0.647","44351","0.647","44469","0.647","44890","0.651","45063","0.649",""
"... 1","5704","0.083","5582","0.082","5623","0.082","5624","0.082","5595","0.081","5581","0.081","5628","0.081",""
"income_bucket","","","","","","","","","","","","","","","X2=19.919"
"... none","9717","0.353","9800","0.353","9688","0.347","9641","0.349","9889","0.354","9771","0.349","9946","0.354",""
"... <20'000","9477","0.345","9565","0.344","9679","0.346","9509","0.344","9637","0.345","9667","0.345","9728","0.346",""
"... 20'-40'000","4919","0.179","4991","0.18","5019","0.18","4956","0.18","4982","0.178","5075","0.181","4997","0.178",""
"... 40-60'000","2423","0.088","2416","0.087","2619","0.094","2513","0.091","2430","0.087","2484","0.089","2450","0.087",""
"... 60'-80'000","961","0.035","998","0.036","952","0.034","989","0.036","979","0.035","1007","0.036","994","0.035",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=27.664"
"... none","36033","0.526","35914","0.524","35939","0.523","35918","0.524","36171","0.527","36064","0.523","36441","0.525",""
"... <20'000","13416","0.196","13336","0.195","13466","0.196","13456","0.196","13320","0.194","13529","0.196","13588","0.196",""
"... 20'-40'000","4629","0.068","4688","0.068","4844","0.07","4829","0.07","4658","0.068","4800","0.07","4696","0.068",""
"... 40-60'000","2998","0.044","3052","0.045","2988","0.043","2939","0.043","3011","0.044","3039","0.044","3033","0.044",""
"... 60'-80'000","2228","0.033","2093","0.031","2123","0.031","2133","0.031","2207","0.032","2195","0.032","2246","0.032",""
"... >80'000","9160","0.134","9407","0.137","9378","0.136","9233","0.135","9312","0.136","9329","0.135","9418","0.136",""
"plz4","","","","","","","","","","","","","","","X2=3562.919"
"... 0000","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 0101","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 0169","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0630","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0650","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 0775","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1000","0","0","1","0","0","0","2","0","2","0","0","0","0","0",""
"... 1010","0","0","0","0","0","0","1","0","1","0","3","0","3","0",""
"... 1020","2","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 1023","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1030","0","0","2","0","0","0","1","0","0","0","0","0","1","0",""
"... 1052","1","0","1","0","0","0","0","0","1","0","3","0","2","0",""
"... 1060","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1070","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1074","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1078","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1081","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1090","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1120","0","0","0","0","1","0","1","0","0","0","1","0","0","0",""
"... 1122","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1133","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1147","1","0","0","0","1","0","2","0","0","0","2","0","0","0",""
"... 1157","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1160","0","0","0","0","0","0","2","0","0","0","1","0","0","0",""
"... 1170","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 1180","0","0","0","0","0","0","1","0","3","0","0","0","2","0",""
"... 1200","0","0","0","0","0","0","0","0","3","0","0","0","1","0",""
"... 1210","1","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 1213","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1214","5","0","3","0","0","0","1","0","1","0","1","0","5","0",""
"... 1220","0","0","1","0","1","0","0","0","0","0","1","0","1","0",""
"... 1230","0","0","2","0","1","0","2","0","0","0","2","0","2","0",""
"... 1238","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1300","0","0","0","0","1","0","0","0","0","0","0","0","2","0",""
"... 1307","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1356","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1361","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1432","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1447","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1612","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1800","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1801","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2000","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2007","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2018","0","0","1","0","1","0","0","0","0","0","0","0","1","0",""
"... 2050","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2100","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 2200","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 2231","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2257","0","0","0","0","1","0","1","0","0","0","2","0","0","0",""
"... 2300","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2324","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 2351","1","0","0","0","0","0","2","0","1","0","1","0","1","0",""
"... 2420","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 2500","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 2510","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2750","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3000","2","0","1","0","0","0","0","0","1","0","0","0","2","0",""
"... 3020","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 3040","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3121","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 3177","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 3215","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3332","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3360","0","0","1","0","0","0","1","0","0","0","0","0","1","0",""
"... 3378","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3460","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3530","0","0","1","0","0","0","2","0","1","0","1","0","0","0",""
"... 3660","0","0","0","0","1","0","2","0","1","0","0","0","2","0",""
"... 3700","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 3762","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3800","0","0","0","0","4","0","2","0","1","0","1","0","2","0",""
"... 4000","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 4020","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 4040","3","0","1","0","2","0","2","0","1","0","3","0","3","0",""
"... 4203","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 4218","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 4414","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 4420","0","0","2","0","0","0","0","0","0","0","0","0","0","0",""
"... 4580","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 4690","0","0","0","0","0","0","2","0","1","0","0","0","2","0",""
"... 4755","2","0","0","0","2","0","2","0","0","0","0","0","0","0",""
"... 4770","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 4814","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 4820","1","0","0","0","1","0","1","0","1","0","0","0","2","0",""
"... 4850","0","0","3","0","0","0","1","0","0","0","0","0","0","0",""
"... 4880","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 5000","2","0","2","0","3","0","1","0","2","0","1","0","1","0",""
"... 5020","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 5043","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 5144","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 5161","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 5462","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 5476","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 5600","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 5700","1","0","0","0","0","0","2","0","0","0","0","0","1","0",""
"... 5710","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 5743","0","0","1","0","0","0","1","0","1","0","1","0","0","0",""
"... 5760","2","0","2","0","0","0","0","0","0","0","1","0","0","0",""
"... 5800","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6000","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6020","1","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 6046","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 6050","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6060","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6100","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6104","0","0","1","0","1","0","0","0","1","0","1","0","1","0",""
"... 6166","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6200","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 6250","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6310","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 6328","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6330","2","0","0","0","1","0","2","0","2","0","3","0","0","0",""
"... 6334","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 6336","1","0","1","0","1","0","2","0","1","0","1","0","1","0",""
"... 6429","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6433","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6500","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6690","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6708","0","0","2","0","0","0","3","0","1","0","0","0","0","0",""
"... 6754","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 6830","0","0","1","0","2","0","0","0","0","0","1","0","0","0",""
"... 6850","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6900","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6971","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6985","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 7000","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 7020","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7030","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7033","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7130","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7141","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
