"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 7201","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7262","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7332","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7440","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7461","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7590","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7623","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7631","0","0","1","0","0","0","0","0","1","0","1","0","1","0",""
"... 7700","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 8000","0","0","2","0","1","0","0","0","0","0","2","0","0","0",""
"... 8001","280","0.004","311","0.005","296","0.004","301","0.005","288","0.004","304","0.005","310","0.005",""
"... 8002","280","0.004","265","0.004","264","0.004","239","0.004","257","0.004","249","0.004","257","0.004",""
"... 8003","1025","0.015","1038","0.016","1044","0.016","1046","0.016","1072","0.016","1059","0.016","1091","0.016",""
"... 8004","1525","0.023","1515","0.023","1491","0.022","1475","0.022","1573","0.023","1529","0.023","1511","0.022",""
"... 8005","1337","0.02","1438","0.022","1380","0.021","1390","0.021","1384","0.021","1443","0.021","1444","0.021",""
"... 8006","523","0.008","482","0.007","474","0.007","497","0.007","496","0.007","526","0.008","487","0.007",""
"... 8008","503","0.008","474","0.007","521","0.008","478","0.007","481","0.007","472","0.007","489","0.007",""
"... 8010","1","0","0","0","1","0","1","0","1","0","1","0","0","0",""
"... 8020","1","0","2","0","0","0","2","0","2","0","0","0","1","0",""
"... 8032","426","0.006","450","0.007","454","0.007","431","0.006","459","0.007","456","0.007","463","0.007",""
"... 8037","755","0.011","751","0.011","732","0.011","688","0.01","704","0.011","675","0.01","734","0.011",""
"... 8038","684","0.01","761","0.011","703","0.01","765","0.011","750","0.011","736","0.011","714","0.011",""
"... 8041","400","0.006","420","0.006","399","0.006","422","0.006","403","0.006","399","0.006","388","0.006",""
"... 8044","197","0.003","189","0.003","201","0.003","176","0.003","198","0.003","206","0.003","195","0.003",""
"... 8045","559","0.008","514","0.008","562","0.008","512","0.008","500","0.007","547","0.008","579","0.009",""
"... 8046","1577","0.024","1504","0.023","1491","0.022","1411","0.021","1501","0.022","1473","0.022","1517","0.022",""
"... 8047","919","0.014","949","0.014","918","0.014","904","0.014","923","0.014","891","0.013","958","0.014",""
"... 8048","1509","0.023","1474","0.022","1443","0.022","1574","0.024","1495","0.022","1469","0.022","1514","0.022",""
"... 8049","857","0.013","874","0.013","843","0.013","818","0.012","824","0.012","855","0.013","832","0.012",""
"... 8050","1449","0.022","1532","0.023","1568","0.023","1504","0.023","1527","0.023","1545","0.023","1521","0.022",""
"... 8051","1554","0.023","1583","0.024","1553","0.023","1601","0.024","1569","0.023","1555","0.023","1668","0.025",""
"... 8052","1161","0.017","1185","0.018","1179","0.018","1184","0.018","1104","0.016","1204","0.018","1154","0.017",""
"... 8053","349","0.005","362","0.005","338","0.005","347","0.005","374","0.006","340","0.005","342","0.005",""
"... 8055","943","0.014","907","0.014","925","0.014","931","0.014","990","0.015","946","0.014","965","0.014",""
"... 8057","857","0.013","925","0.014","925","0.014","947","0.014","926","0.014","904","0.013","927","0.014",""
"... 8063","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8064","247","0.004","272","0.004","281","0.004","267","0.004","245","0.004","254","0.004","265","0.004",""
"... 8102","322","0.005","326","0.005","300","0.004","306","0.005","295","0.004","318","0.005","309","0.005",""
"... 8103","126","0.002","122","0.002","132","0.002","122","0.002","139","0.002","140","0.002","136","0.002",""
"... 8104","73","0.001","59","0.001","81","0.001","87","0.001","73","0.001","76","0.001","55","0.001",""
"... 8105","665","0.01","707","0.011","738","0.011","667","0.01","727","0.011","716","0.011","691","0.01",""
"... 8106","270","0.004","275","0.004","310","0.005","292","0.004","279","0.004","288","0.004","308","0.005",""
"... 8107","307","0.005","299","0.004","315","0.005","312","0.005","293","0.004","319","0.005","285","0.004",""
"... 8108","214","0.003","207","0.003","185","0.003","189","0.003","196","0.003","194","0.003","190","0.003",""
"... 8110","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8112","100","0.001","108","0.002","103","0.002","97","0.001","103","0.002","101","0.001","110","0.002",""
"... 8113","22","0","27","0","27","0","30","0","30","0","35","0.001","35","0.001",""
"... 8114","99","0.001","78","0.001","83","0.001","86","0.001","72","0.001","99","0.001","78","0.001",""
"... 8115","24","0","11","0","25","0","21","0","19","0","18","0","16","0",""
"... 8117","201","0.003","152","0.002","202","0.003","194","0.003","184","0.003","186","0.003","189","0.003",""
"... 8118","73","0.001","60","0.001","60","0.001","51","0.001","58","0.001","74","0.001","42","0.001",""
"... 8121","76","0.001","95","0.001","96","0.001","80","0.001","76","0.001","85","0.001","82","0.001",""
"... 8122","58","0.001","70","0.001","57","0.001","61","0.001","75","0.001","66","0.001","67","0.001",""
"... 8123","68","0.001","77","0.001","71","0.001","75","0.001","75","0.001","55","0.001","72","0.001",""
"... 8124","71","0.001","43","0.001","51","0.001","34","0.001","47","0.001","38","0.001","55","0.001",""
"... 8125","127","0.002","124","0.002","120","0.002","132","0.002","119","0.002","139","0.002","147","0.002",""
"... 8126","109","0.002","116","0.002","126","0.002","109","0.002","104","0.002","127","0.002","114","0.002",""
"... 8127","105","0.002","111","0.002","112","0.002","134","0.002","121","0.002","120","0.002","142","0.002",""
"... 8132","213","0.003","212","0.003","223","0.003","226","0.003","204","0.003","205","0.003","229","0.003",""
"... 8133","65","0.001","54","0.001","54","0.001","65","0.001","45","0.001","57","0.001","54","0.001",""
"... 8134","702","0.011","676","0.01","744","0.011","699","0.01","706","0.011","767","0.011","719","0.011",""
"... 8135","283","0.004","251","0.004","264","0.004","273","0.004","286","0.004","281","0.004","269","0.004",""
"... 8136","95","0.001","86","0.001","85","0.001","92","0.001","90","0.001","96","0.001","86","0.001",""
"... 8142","95","0.001","74","0.001","67","0.001","78","0.001","83","0.001","91","0.001","88","0.001",""
"... 8143","97","0.001","89","0.001","103","0.002","99","0.001","83","0.001","83","0.001","95","0.001",""
"... 8152","1073","0.016","1145","0.017","1180","0.018","1096","0.016","1187","0.018","1145","0.017","1134","0.017",""
"... 8153","425","0.006","436","0.007","417","0.006","379","0.006","448","0.007","446","0.007","456","0.007",""
"... 8154","394","0.006","393","0.006","433","0.006","402","0.006","393","0.006","402","0.006","427","0.006",""
"... 8155","343","0.005","373","0.006","350","0.005","343","0.005","343","0.005","335","0.005","355","0.005",""
"... 8156","73","0.001","79","0.001","73","0.001","80","0.001","68","0.001","66","0.001","71","0.001",""
"... 8157","233","0.003","261","0.004","257","0.004","285","0.004","250","0.004","249","0.004","284","0.004",""
"... 8158","9","0","15","0","18","0","12","0","9","0","11","0","10","0",""
"... 8162","123","0.002","128","0.002","150","0.002","156","0.002","130","0.002","128","0.002","141","0.002",""
"... 8164","30","0","14","0","24","0","31","0","23","0","16","0","23","0",""
"... 8165","135","0.002","127","0.002","147","0.002","151","0.002","130","0.002","145","0.002","141","0.002",""
"... 8166","107","0.002","104","0.002","114","0.002","101","0.002","106","0.002","109","0.002","99","0.001",""
"... 8172","238","0.004","217","0.003","222","0.003","217","0.003","210","0.003","236","0.004","243","0.004",""
"... 8173","75","0.001","77","0.001","51","0.001","65","0.001","68","0.001","69","0.001","70","0.001",""
"... 8174","65","0.001","43","0.001","61","0.001","51","0.001","64","0.001","66","0.001","55","0.001",""
"... 8175","22","0","24","0","15","0","26","0","26","0","21","0","30","0",""
"... 8180","1068","0.016","1107","0.017","1133","0.017","1158","0.017","1111","0.017","1132","0.017","1108","0.016",""
"... 8181","168","0.003","150","0.002","171","0.003","175","0.003","175","0.003","161","0.002","173","0.003",""
"... 8182","62","0.001","59","0.001","80","0.001","65","0.001","77","0.001","70","0.001","83","0.001",""
"... 8184","228","0.003","198","0.003","192","0.003","195","0.003","198","0.003","200","0.003","193","0.003",""
"... 8185","94","0.001","120","0.002","110","0.002","95","0.001","125","0.002","115","0.002","102","0.002",""
"... 8187","92","0.001","103","0.002","90","0.001","80","0.001","87","0.001","88","0.001","90","0.001",""
"... 8192","206","0.003","210","0.003","212","0.003","212","0.003","197","0.003","221","0.003","224","0.003",""
"... 8193","171","0.003","158","0.002","198","0.003","185","0.003","181","0.003","192","0.003","168","0.002",""
"... 8194","23","0","35","0.001","34","0.001","34","0.001","22","0","26","0","19","0",""
"... 8195","19","0","16","0","14","0","15","0","5","0","13","0","13","0",""
"... 8196","55","0.001","35","0.001","48","0.001","50","0.001","46","0.001","34","0.001","44","0.001",""
"... 8197","204","0.003","191","0.003","184","0.003","151","0.002","201","0.003","177","0.003","218","0.003",""
"... 8200","32","0","41","0.001","49","0.001","47","0.001","48","0.001","45","0.001","38","0.001",""
"... 8203","7","0","2","0","4","0","4","0","6","0","2","0","5","0",""
"... 8207","8","0","10","0","7","0","9","0","10","0","6","0","5","0",""
"... 8208","2","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 8212","28","0","24","0","35","0.001","39","0.001","29","0","32","0","35","0.001",""
"... 8213","7","0","7","0","5","0","5","0","3","0","3","0","4","0",""
"... 8214","1","0","0","0","2","0","0","0","0","0","0","0","2","0",""
"... 8215","7","0","4","0","6","0","6","0","2","0","2","0","4","0",""
"... 8217","1","0","0","0","2","0","3","0","0","0","1","0","1","0",""
"... 8219","0","0","1","0","1","0","0","0","0","0","1","0","1","0",""
"... 8222","8","0","6","0","8","0","6","0","4","0","9","0","2","0",""
"... 8224","2","0","1","0","3","0","1","0","2","0","1","0","2","0",""
"... 8225","2","0","2","0","0","0","0","0","0","0","0","0","1","0",""
"... 8226","6","0","5","0","1","0","4","0","2","0","9","0","3","0",""
"... 8231","1","0","0","0","0","0","1","0","1","0","2","0","1","0",""
"... 8232","0","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 8233","0","0","0","0","1","0","0","0","1","0","1","0","1","0",""
"... 8234","0","0","1","0","1","0","0","0","0","0","1","0","2","0",""
"... 8235","0","0","1","0","2","0","1","0","2","0","0","0","1","0",""
"... 8236","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8239","6","0","3","0","1","0","3","0","2","0","0","0","1","0",""
"... 8240","1","0","1","0","1","0","1","0","5","0","2","0","3","0",""
"... 8241","1","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 8242","0","0","1","0","1","0","1","0","1","0","1","0","2","0",""
"... 8245","88","0.001","107","0.002","105","0.002","94","0.001","90","0.001","119","0.002","101","0.001",""
"... 8246","44","0.001","50","0.001","53","0.001","49","0.001","48","0.001","55","0.001","59","0.001",""
"... 8247","32","0","48","0.001","33","0","34","0.001","40","0.001","42","0.001","49","0.001",""
"... 8248","34","0.001","46","0.001","48","0.001","34","0.001","44","0.001","35","0.001","38","0.001",""
"... 8252","1","0","6","0","3","0","4","0","3","0","4","0","2","0",""
"... 8253","2","0","6","0","2","0","4","0","2","0","2","0","4","0",""
"... 8254","5","0","0","0","2","0","0","0","1","0","2","0","1","0",""
"... 8255","1","0","2","0","0","0","0","0","1","0","2","0","0","0",""
"... 8259","1","0","2","0","2","0","1","0","1","0","2","0","3","0",""
"... 8260","4","0","2","0","2","0","1","0","2","0","7","0","6","0",""
"... 8261","0","0","2","0","0","0","1","0","0","0","0","0","0","0",""
"... 8262","0","0","2","0","2","0","1","0","0","0","3","0","0","0",""
"... 8264","2","0","2","0","1","0","1","0","0","0","1","0","2","0",""
"... 8265","0","0","1","0","0","0","2","0","1","0","0","0","0","0",""
"... 8266","3","0","4","0","2","0","6","0","2","0","3","0","1","0",""
"... 8267","0","0","1","0","0","0","1","0","0","0","0","0","1","0",""
"... 8269","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 8272","3","0","2","0","0","0","1","0","3","0","3","0","4","0",""
"... 8274","1","0","0","0","0","0","2","0","2","0","4","0","1","0",""
