"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 0169","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 0630","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 0650","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0775","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1000","1","0","0","0","2","0","1","0","0","0","0","0","1","0",""
"... 1010","2","0","1","0","0","0","2","0","0","0","2","0","1","0",""
"... 1020","1","0","2","0","1","0","0","0","0","0","0","0","0","0",""
"... 1023","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1030","1","0","0","0","1","0","0","0","0","0","2","0","0","0",""
"... 1052","1","0","1","0","1","0","3","0","1","0","1","0","0","0",""
"... 1060","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 1070","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1074","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1078","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1081","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1090","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 1120","0","0","1","0","0","0","0","0","0","0","2","0","0","0",""
"... 1122","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1133","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1147","1","0","1","0","0","0","1","0","1","0","2","0","0","0",""
"... 1157","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1160","0","0","2","0","0","0","1","0","0","0","0","0","0","0",""
"... 1170","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 1180","0","0","2","0","1","0","1","0","0","0","0","0","2","0",""
"... 1200","0","0","0","0","2","0","0","0","2","0","0","0","0","0",""
"... 1210","0","0","0","0","2","0","0","0","0","0","1","0","0","0",""
"... 1213","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1214","2","0","4","0","2","0","2","0","1","0","1","0","4","0",""
"... 1220","1","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 1230","0","0","1","0","0","0","1","0","2","0","3","0","2","0",""
"... 1238","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 1300","0","0","1","0","0","0","1","0","0","0","0","0","1","0",""
"... 1307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1356","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1361","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1432","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1447","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1612","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 1800","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1801","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2000","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 2007","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2018","0","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 2050","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2100","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 2200","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 2231","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2257","0","0","2","0","0","0","0","0","1","0","0","0","1","0",""
"... 2300","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2307","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2324","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 2351","0","0","0","0","1","0","3","0","1","0","0","0","1","0",""
"... 2420","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2500","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 2510","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 2750","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3000","0","0","1","0","1","0","0","0","3","0","0","0","1","0",""
"... 3020","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 3040","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3121","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3177","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3215","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 3332","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3360","1","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 3378","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3460","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3530","0","0","0","0","1","0","2","0","0","0","1","0","1","0",""
"... 3660","1","0","1","0","0","0","2","0","1","0","0","0","1","0",""
"... 3700","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 3762","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3800","2","0","2","0","1","0","0","0","2","0","1","0","2","0",""
"... 4000","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 4020","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 4040","2","0","2","0","2","0","4","0","1","0","2","0","2","0",""
"... 4203","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 4218","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4414","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 4420","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 4580","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4690","3","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 4755","1","0","1","0","1","0","0","0","1","0","1","0","1","0",""
"... 4770","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 4814","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4820","0","0","0","0","3","0","1","0","1","0","0","0","1","0",""
"... 4850","1","0","2","0","0","0","0","0","0","0","1","0","0","0",""
"... 4880","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5000","1","0","3","0","3","0","2","0","1","0","2","0","0","0",""
"... 5020","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 5043","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 5144","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5161","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 5462","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 5476","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 5600","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 5700","0","0","1","0","1","0","1","0","1","0","0","0","0","0",""
"... 5710","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 5743","0","0","0","0","1","0","0","0","1","0","0","0","2","0",""
"... 5760","1","0","1","0","0","0","1","0","1","0","1","0","0","0",""
"... 5800","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6000","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6020","0","0","0","0","0","0","1","0","1","0","0","0","1","0",""
"... 6046","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 6050","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6060","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 6100","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 6104","0","0","0","0","2","0","1","0","1","0","0","0","1","0",""
"... 6166","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6200","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 6250","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6310","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 6328","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6330","1","0","0","0","0","0","3","0","2","0","2","0","2","0",""
"... 6334","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 6336","0","0","5","0","1","0","1","0","0","0","1","0","0","0",""
"... 6429","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6433","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6500","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6690","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6708","1","0","0","0","3","0","1","0","0","0","0","0","1","0",""
"... 6754","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 6830","1","0","1","0","0","0","0","0","0","0","2","0","0","0",""
"... 6850","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6900","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 6971","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6985","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 7000","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 7020","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7030","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7033","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7130","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7141","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7201","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 7262","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7332","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7440","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7461","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7590","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7623","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7631","1","0","1","0","2","0","0","0","0","0","0","0","0","0",""
"... 7700","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 8000","0","0","0","0","0","0","2","0","0","0","1","0","2","0",""
"... 8001","259","0.004","302","0.004","283","0.004","315","0.005","317","0.005","302","0.005","312","0.005",""
"... 8002","249","0.004","259","0.004","270","0.004","255","0.004","249","0.004","266","0.004","263","0.004",""
"... 8003","1028","0.015","1090","0.016","1033","0.015","1078","0.016","1075","0.016","1029","0.015","1042","0.016",""
"... 8004","1557","0.023","1529","0.023","1462","0.022","1474","0.022","1524","0.023","1520","0.023","1553","0.023",""
"... 8005","1439","0.022","1349","0.02","1382","0.021","1431","0.021","1419","0.021","1362","0.02","1434","0.021",""
"... 8006","531","0.008","508","0.008","516","0.008","480","0.007","492","0.007","484","0.007","474","0.007",""
"... 8008","486","0.007","511","0.008","504","0.008","466","0.007","466","0.007","506","0.008","479","0.007",""
"... 8010","0","0","1","0","1","0","2","0","1","0","0","0","0","0",""
"... 8020","1","0","2","0","2","0","0","0","0","0","2","0","1","0",""
"... 8032","451","0.007","457","0.007","446","0.007","453","0.007","447","0.007","442","0.007","443","0.007",""
"... 8037","695","0.01","732","0.011","763","0.011","701","0.01","757","0.011","686","0.01","705","0.011",""
"... 8038","704","0.011","784","0.012","768","0.011","730","0.011","727","0.011","701","0.011","699","0.01",""
"... 8041","398","0.006","388","0.006","395","0.006","414","0.006","399","0.006","413","0.006","424","0.006",""
"... 8044","216","0.003","195","0.003","183","0.003","197","0.003","197","0.003","193","0.003","181","0.003",""
"... 8045","542","0.008","556","0.008","530","0.008","549","0.008","552","0.008","528","0.008","516","0.008",""
"... 8046","1427","0.021","1534","0.023","1525","0.023","1571","0.023","1494","0.022","1445","0.022","1478","0.022",""
"... 8047","908","0.014","935","0.014","928","0.014","868","0.013","968","0.014","909","0.014","946","0.014",""
"... 8048","1488","0.022","1449","0.021","1479","0.022","1473","0.022","1541","0.023","1509","0.023","1539","0.023",""
"... 8049","874","0.013","864","0.013","808","0.012","825","0.012","869","0.013","789","0.012","874","0.013",""
"... 8050","1536","0.023","1499","0.022","1526","0.023","1507","0.022","1563","0.023","1562","0.023","1453","0.022",""
"... 8051","1547","0.023","1562","0.023","1577","0.024","1627","0.024","1636","0.024","1618","0.024","1516","0.023",""
"... 8052","1139","0.017","1161","0.017","1139","0.017","1184","0.018","1200","0.018","1183","0.018","1165","0.017",""
"... 8053","356","0.005","346","0.005","355","0.005","342","0.005","356","0.005","377","0.006","320","0.005",""
"... 8055","905","0.014","975","0.014","968","0.014","955","0.014","885","0.013","937","0.014","982","0.015",""
"... 8057","908","0.014","915","0.014","915","0.014","902","0.013","918","0.014","932","0.014","921","0.014",""
"... 8063","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 8064","256","0.004","294","0.004","278","0.004","246","0.004","240","0.004","255","0.004","262","0.004",""
"... 8102","317","0.005","310","0.005","306","0.005","320","0.005","306","0.005","314","0.005","303","0.005",""
"... 8103","133","0.002","155","0.002","114","0.002","137","0.002","125","0.002","125","0.002","128","0.002",""
"... 8104","74","0.001","59","0.001","80","0.001","74","0.001","78","0.001","75","0.001","64","0.001",""
"... 8105","696","0.01","728","0.011","709","0.011","687","0.01","726","0.011","684","0.01","681","0.01",""
"... 8106","270","0.004","288","0.004","303","0.005","306","0.005","288","0.004","279","0.004","288","0.004",""
"... 8107","277","0.004","316","0.005","317","0.005","317","0.005","277","0.004","292","0.004","334","0.005",""
"... 8108","179","0.003","208","0.003","199","0.003","217","0.003","203","0.003","176","0.003","193","0.003",""
"... 8110","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 8112","108","0.002","113","0.002","109","0.002","98","0.001","94","0.001","100","0.001","100","0.001",""
"... 8113","28","0","31","0","29","0","32","0","28","0","27","0","31","0",""
"... 8114","72","0.001","87","0.001","85","0.001","80","0.001","105","0.002","83","0.001","83","0.001",""
"... 8115","15","0","15","0","19","0","14","0","24","0","25","0","22","0",""
"... 8117","185","0.003","193","0.003","185","0.003","190","0.003","189","0.003","197","0.003","169","0.003",""
"... 8118","61","0.001","67","0.001","58","0.001","60","0.001","63","0.001","43","0.001","66","0.001",""
"... 8121","62","0.001","105","0.002","84","0.001","88","0.001","79","0.001","82","0.001","90","0.001",""
"... 8122","61","0.001","68","0.001","58","0.001","71","0.001","58","0.001","59","0.001","79","0.001",""
"... 8123","72","0.001","68","0.001","54","0.001","67","0.001","74","0.001","74","0.001","84","0.001",""
"... 8124","38","0.001","51","0.001","46","0.001","51","0.001","46","0.001","55","0.001","52","0.001",""
"... 8125","118","0.002","138","0.002","134","0.002","135","0.002","130","0.002","131","0.002","122","0.002",""
"... 8126","94","0.001","127","0.002","111","0.002","121","0.002","116","0.002","116","0.002","120","0.002",""
"... 8127","124","0.002","136","0.002","130","0.002","114","0.002","112","0.002","99","0.001","130","0.002",""
"... 8132","230","0.003","211","0.003","223","0.003","225","0.003","210","0.003","189","0.003","224","0.003",""
"... 8133","60","0.001","51","0.001","65","0.001","55","0.001","57","0.001","61","0.001","45","0.001",""
"... 8134","709","0.011","711","0.011","712","0.011","751","0.011","751","0.011","680","0.01","699","0.01",""
"... 8135","283","0.004","254","0.004","276","0.004","278","0.004","283","0.004","275","0.004","258","0.004",""
"... 8136","92","0.001","81","0.001","91","0.001","89","0.001","88","0.001","81","0.001","108","0.002",""
"... 8142","85","0.001","83","0.001","76","0.001","91","0.001","78","0.001","83","0.001","80","0.001",""
"... 8143","97","0.001","97","0.001","82","0.001","96","0.001","82","0.001","99","0.001","96","0.001",""
"... 8152","1109","0.017","1116","0.017","1174","0.018","1100","0.016","1125","0.017","1184","0.018","1152","0.017",""
"... 8153","419","0.006","408","0.006","438","0.007","445","0.007","402","0.006","472","0.007","423","0.006",""
"... 8154","441","0.007","412","0.006","390","0.006","415","0.006","387","0.006","396","0.006","403","0.006",""
"... 8155","341","0.005","336","0.005","357","0.005","364","0.005","371","0.005","331","0.005","342","0.005",""
"... 8156","71","0.001","72","0.001","58","0.001","76","0.001","75","0.001","79","0.001","79","0.001",""
"... 8157","269","0.004","252","0.004","270","0.004","254","0.004","242","0.004","269","0.004","263","0.004",""
"... 8158","9","0","14","0","11","0","13","0","10","0","15","0","12","0",""
"... 8162","131","0.002","136","0.002","148","0.002","138","0.002","140","0.002","133","0.002","130","0.002",""
"... 8164","20","0","22","0","23","0","25","0","20","0","30","0","21","0",""
"... 8165","147","0.002","118","0.002","139","0.002","140","0.002","136","0.002","140","0.002","156","0.002",""
"... 8166","120","0.002","117","0.002","94","0.001","108","0.002","106","0.002","97","0.001","98","0.001",""
"... 8172","209","0.003","234","0.003","245","0.004","228","0.003","227","0.003","222","0.003","218","0.003",""
"... 8173","63","0.001","68","0.001","66","0.001","66","0.001","83","0.001","68","0.001","61","0.001",""
"... 8174","44","0.001","68","0.001","51","0.001","68","0.001","49","0.001","58","0.001","67","0.001",""
"... 8175","32","0","13","0","16","0","16","0","28","0","29","0","30","0",""
"... 8180","1131","0.017","1210","0.018","1097","0.016","1142","0.017","1068","0.016","1089","0.016","1080","0.016",""
"... 8181","172","0.003","171","0.003","174","0.003","164","0.002","161","0.002","161","0.002","170","0.003",""
"... 8182","70","0.001","67","0.001","69","0.001","67","0.001","74","0.001","80","0.001","69","0.001",""
"... 8184","203","0.003","196","0.003","201","0.003","186","0.003","193","0.003","218","0.003","207","0.003",""
"... 8185","97","0.001","104","0.002","104","0.002","112","0.002","112","0.002","118","0.002","114","0.002",""
"... 8187","87","0.001","87","0.001","94","0.001","99","0.001","87","0.001","77","0.001","99","0.001",""
"... 8192","216","0.003","221","0.003","186","0.003","204","0.003","232","0.003","218","0.003","205","0.003",""
"... 8193","171","0.003","186","0.003","194","0.003","197","0.003","193","0.003","157","0.002","155","0.002",""
"... 8194","29","0","29","0","27","0","37","0.001","21","0","21","0","29","0",""
"... 8195","10","0","14","0","11","0","17","0","10","0","18","0","15","0",""
"... 8196","53","0.001","44","0.001","38","0.001","53","0.001","46","0.001","40","0.001","38","0.001",""
"... 8197","189","0.003","183","0.003","198","0.003","167","0.002","194","0.003","192","0.003","203","0.003",""
"... 8200","37","0.001","40","0.001","42","0.001","45","0.001","41","0.001","46","0.001","49","0.001",""
"... 8203","2","0","1","0","8","0","4","0","5","0","4","0","6","0",""
"... 8207","2","0","10","0","9","0","10","0","9","0","4","0","11","0",""
"... 8208","0","0","0","0","1","0","0","0","0","0","2","0","1","0",""
"... 8212","30","0","31","0","32","0","34","0.001","40","0.001","25","0","30","0",""
"... 8213","2","0","6","0","4","0","5","0","2","0","10","0","5","0",""
"... 8214","0","0","1","0","1","0","0","0","2","0","0","0","1","0",""
"... 8215","4","0","4","0","6","0","2","0","11","0","3","0","1","0",""
"... 8217","2","0","0","0","2","0","1","0","2","0","0","0","1","0",""
"... 8219","0","0","0","0","2","0","0","0","0","0","1","0","1","0",""
"... 8222","7","0","9","0","6","0","4","0","4","0","6","0","7","0",""
"... 8224","0","0","3","0","2","0","3","0","1","0","2","0","1","0",""
"... 8225","2","0","0","0","0","0","0","0","1","0","1","0","1","0",""
"... 8226","6","0","3","0","2","0","3","0","7","0","5","0","4","0",""
"... 8231","1","0","2","0","0","0","1","0","1","0","0","0","1","0",""
"... 8232","1","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 8233","0","0","0","0","1","0","1","0","0","0","1","0","1","0",""
"... 8234","0","0","1","0","0","0","0","0","0","0","1","0","3","0",""
"... 8235","2","0","1","0","0","0","1","0","0","0","2","0","1","0",""
"... 8236","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 8239","1","0","0","0","2","0","3","0","4","0","2","0","4","0",""
"... 8240","1","0","0","0","4","0","3","0","3","0","2","0","1","0",""
"... 8241","0","0","0","0","0","0","1","0","0","0","2","0","0","0",""
"... 8242","2","0","2","0","0","0","0","0","1","0","1","0","1","0",""
"... 8245","96","0.001","111","0.002","101","0.002","97","0.001","102","0.002","106","0.002","91","0.001",""
"... 8246","51","0.001","55","0.001","58","0.001","38","0.001","54","0.001","54","0.001","48","0.001",""
"... 8247","42","0.001","41","0.001","43","0.001","30","0","54","0.001","29","0","39","0.001",""
"... 8248","49","0.001","31","0","42","0.001","32","0","41","0.001","44","0.001","40","0.001",""
"... 8252","3","0","3","0","6","0","5","0","1","0","5","0","0","0",""
"... 8253","5","0","3","0","1","0","3","0","1","0","3","0","6","0",""
"... 8254","2","0","2","0","5","0","0","0","1","0","1","0","0","0",""
"... 8255","1","0","1","0","0","0","1","0","1","0","0","0","2","0",""
"... 8259","0","0","4","0","1","0","3","0","0","0","2","0","2","0",""
"... 8260","4","0","3","0","2","0","2","0","5","0","5","0","3","0",""
"... 8261","1","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 8262","0","0","1","0","0","0","2","0","1","0","3","0","1","0",""
"... 8264","1","0","2","0","2","0","2","0","1","0","1","0","0","0",""
