"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 4414","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 4420","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 4580","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4690","0","0","2","0","1","0","1","0","1","0","0","0","0","0",""
"... 4755","0","0","0","0","1","0","1","0","0","0","2","0","2","0",""
"... 4770","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 4814","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 4820","0","0","1","0","1","0","2","0","1","0","1","0","0","0",""
"... 4850","1","0","1","0","0","0","0","0","1","0","0","0","1","0",""
"... 4880","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5000","4","0","3","0","2","0","2","0","1","0","0","0","0","0",""
"... 5020","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 5043","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 5144","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 5161","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 5462","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 5476","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 5600","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5700","1","0","0","0","3","0","0","0","0","0","0","0","0","0",""
"... 5710","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 5743","1","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 5760","1","0","1","0","0","0","0","0","1","0","1","0","1","0",""
"... 5800","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6000","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6020","0","0","0","0","1","0","0","0","1","0","0","0","1","0",""
"... 6046","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 6050","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6060","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 6100","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6104","1","0","0","0","1","0","1","0","1","0","1","0","0","0",""
"... 6166","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6200","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 6250","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6310","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 6328","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6330","1","0","2","0","1","0","0","0","3","0","2","0","1","0",""
"... 6334","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 6336","1","0","0","0","2","0","3","0","0","0","2","0","0","0",""
"... 6429","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6433","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6500","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6690","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6708","2","0","1","0","0","0","1","0","1","0","0","0","1","0",""
"... 6754","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 6830","0","0","0","0","2","0","1","0","0","0","1","0","0","0",""
"... 6850","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6900","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 6971","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6985","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7000","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 7020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7030","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7033","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7130","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7141","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 7201","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 7262","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7332","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7440","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7461","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... 7590","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7623","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 7631","0","0","0","0","0","0","0","0","0","0","1","0","3","0",""
"... 7700","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 8000","0","0","2","0","0","0","0","0","1","0","1","0","1","0",""
"... 8001","310","0.005","324","0.005","307","0.005","321","0.005","285","0.004","277","0.004","266","0.004",""
"... 8002","264","0.004","265","0.004","242","0.004","248","0.004","255","0.004","269","0.004","268","0.004",""
"... 8003","1035","0.015","1136","0.017","1001","0.015","1003","0.015","1075","0.016","1042","0.015","1083","0.016",""
"... 8004","1495","0.022","1496","0.022","1487","0.022","1527","0.023","1535","0.023","1536","0.023","1543","0.023",""
"... 8005","1356","0.02","1445","0.022","1389","0.021","1400","0.021","1375","0.02","1436","0.021","1415","0.021",""
"... 8006","497","0.007","510","0.008","490","0.007","515","0.008","522","0.008","474","0.007","477","0.007",""
"... 8008","446","0.007","512","0.008","498","0.007","491","0.007","471","0.007","491","0.007","509","0.008",""
"... 8010","0","0","1","0","1","0","0","0","1","0","2","0","0","0",""
"... 8020","0","0","0","0","3","0","0","0","2","0","3","0","0","0",""
"... 8032","453","0.007","440","0.007","439","0.007","446","0.007","480","0.007","428","0.006","453","0.007",""
"... 8037","725","0.011","712","0.011","735","0.011","750","0.011","694","0.01","725","0.011","698","0.01",""
"... 8038","706","0.011","762","0.011","727","0.011","729","0.011","744","0.011","727","0.011","718","0.011",""
"... 8041","394","0.006","390","0.006","420","0.006","372","0.006","392","0.006","423","0.006","440","0.007",""
"... 8044","198","0.003","176","0.003","197","0.003","192","0.003","187","0.003","202","0.003","210","0.003",""
"... 8045","529","0.008","561","0.008","495","0.007","531","0.008","532","0.008","580","0.009","545","0.008",""
"... 8046","1476","0.022","1439","0.022","1484","0.022","1514","0.023","1441","0.021","1573","0.023","1547","0.023",""
"... 8047","870","0.013","909","0.014","952","0.014","941","0.014","944","0.014","898","0.013","948","0.014",""
"... 8048","1543","0.023","1502","0.022","1535","0.023","1483","0.022","1452","0.022","1493","0.022","1470","0.022",""
"... 8049","843","0.013","827","0.012","788","0.012","917","0.014","844","0.013","814","0.012","870","0.013",""
"... 8050","1497","0.022","1482","0.022","1543","0.023","1489","0.022","1546","0.023","1560","0.023","1529","0.023",""
"... 8051","1628","0.024","1542","0.023","1600","0.024","1507","0.023","1610","0.024","1656","0.025","1540","0.023",""
"... 8052","1155","0.017","1168","0.017","1189","0.018","1125","0.017","1216","0.018","1186","0.018","1132","0.017",""
"... 8053","354","0.005","371","0.006","330","0.005","349","0.005","336","0.005","367","0.005","345","0.005",""
"... 8055","975","0.015","960","0.014","935","0.014","931","0.014","942","0.014","931","0.014","933","0.014",""
"... 8057","879","0.013","954","0.014","913","0.014","898","0.013","897","0.013","918","0.014","952","0.014",""
"... 8063","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8064","279","0.004","284","0.004","254","0.004","262","0.004","233","0.003","261","0.004","258","0.004",""
"... 8102","318","0.005","319","0.005","288","0.004","318","0.005","305","0.005","321","0.005","307","0.005",""
"... 8103","155","0.002","123","0.002","115","0.002","115","0.002","150","0.002","130","0.002","129","0.002",""
"... 8104","70","0.001","72","0.001","73","0.001","76","0.001","64","0.001","72","0.001","77","0.001",""
"... 8105","698","0.01","704","0.011","724","0.011","685","0.01","710","0.011","673","0.01","717","0.011",""
"... 8106","300","0.004","275","0.004","303","0.005","309","0.005","273","0.004","284","0.004","278","0.004",""
"... 8107","327","0.005","311","0.005","299","0.004","301","0.004","296","0.004","287","0.004","309","0.005",""
"... 8108","200","0.003","205","0.003","185","0.003","204","0.003","209","0.003","177","0.003","195","0.003",""
"... 8110","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 8112","107","0.002","88","0.001","90","0.001","114","0.002","127","0.002","99","0.001","97","0.001",""
"... 8113","35","0.001","31","0","24","0","28","0","27","0","24","0","37","0.001",""
"... 8114","88","0.001","78","0.001","89","0.001","88","0.001","108","0.002","70","0.001","74","0.001",""
"... 8115","21","0","24","0","22","0","15","0","21","0","13","0","18","0",""
"... 8117","186","0.003","169","0.003","198","0.003","174","0.003","203","0.003","186","0.003","192","0.003",""
"... 8118","48","0.001","57","0.001","51","0.001","57","0.001","79","0.001","63","0.001","63","0.001",""
"... 8121","87","0.001","81","0.001","84","0.001","69","0.001","90","0.001","94","0.001","85","0.001",""
"... 8122","65","0.001","72","0.001","68","0.001","72","0.001","54","0.001","60","0.001","63","0.001",""
"... 8123","72","0.001","80","0.001","51","0.001","64","0.001","85","0.001","66","0.001","75","0.001",""
"... 8124","50","0.001","49","0.001","49","0.001","54","0.001","43","0.001","46","0.001","48","0.001",""
"... 8125","114","0.002","130","0.002","124","0.002","134","0.002","149","0.002","123","0.002","134","0.002",""
"... 8126","115","0.002","101","0.002","108","0.002","117","0.002","128","0.002","125","0.002","111","0.002",""
"... 8127","113","0.002","118","0.002","122","0.002","143","0.002","109","0.002","126","0.002","114","0.002",""
"... 8132","233","0.003","228","0.003","219","0.003","197","0.003","218","0.003","198","0.003","219","0.003",""
"... 8133","52","0.001","45","0.001","50","0.001","70","0.001","58","0.001","56","0.001","63","0.001",""
"... 8134","710","0.011","692","0.01","700","0.01","731","0.011","713","0.011","748","0.011","719","0.011",""
"... 8135","279","0.004","261","0.004","267","0.004","287","0.004","286","0.004","268","0.004","259","0.004",""
"... 8136","93","0.001","84","0.001","87","0.001","96","0.001","78","0.001","106","0.002","86","0.001",""
"... 8142","91","0.001","72","0.001","87","0.001","95","0.001","75","0.001","80","0.001","76","0.001",""
"... 8143","95","0.001","98","0.001","81","0.001","89","0.001","106","0.002","96","0.001","84","0.001",""
"... 8152","1149","0.017","1136","0.017","1153","0.017","1105","0.017","1137","0.017","1146","0.017","1134","0.017",""
"... 8153","472","0.007","445","0.007","412","0.006","403","0.006","408","0.006","421","0.006","446","0.007",""
"... 8154","410","0.006","390","0.006","444","0.007","415","0.006","421","0.006","396","0.006","368","0.005",""
"... 8155","305","0.005","344","0.005","352","0.005","381","0.006","369","0.005","342","0.005","349","0.005",""
"... 8156","65","0.001","85","0.001","76","0.001","72","0.001","66","0.001","82","0.001","64","0.001",""
"... 8157","243","0.004","248","0.004","257","0.004","288","0.004","254","0.004","255","0.004","274","0.004",""
"... 8158","22","0","14","0","14","0","8","0","9","0","10","0","7","0",""
"... 8162","141","0.002","108","0.002","143","0.002","138","0.002","163","0.002","127","0.002","136","0.002",""
"... 8164","23","0","18","0","23","0","24","0","27","0","23","0","23","0",""
"... 8165","139","0.002","147","0.002","150","0.002","121","0.002","123","0.002","135","0.002","161","0.002",""
"... 8166","111","0.002","96","0.001","104","0.002","106","0.002","111","0.002","105","0.002","107","0.002",""
"... 8172","250","0.004","226","0.003","196","0.003","249","0.004","220","0.003","231","0.003","211","0.003",""
"... 8173","48","0.001","74","0.001","61","0.001","72","0.001","87","0.001","68","0.001","65","0.001",""
"... 8174","61","0.001","51","0.001","52","0.001","64","0.001","65","0.001","66","0.001","46","0.001",""
"... 8175","28","0","21","0","20","0","23","0","25","0","25","0","22","0",""
"... 8180","1146","0.017","1105","0.017","1123","0.017","1042","0.016","1141","0.017","1161","0.017","1099","0.016",""
"... 8181","168","0.003","153","0.002","168","0.003","166","0.002","165","0.002","175","0.003","178","0.003",""
"... 8182","77","0.001","65","0.001","69","0.001","78","0.001","66","0.001","83","0.001","58","0.001",""
"... 8184","186","0.003","200","0.003","204","0.003","201","0.003","208","0.003","196","0.003","209","0.003",""
"... 8185","116","0.002","99","0.001","106","0.002","104","0.002","108","0.002","108","0.002","120","0.002",""
"... 8187","87","0.001","91","0.001","61","0.001","103","0.002","102","0.002","94","0.001","92","0.001",""
"... 8192","225","0.003","196","0.003","219","0.003","187","0.003","230","0.003","219","0.003","206","0.003",""
"... 8193","179","0.003","186","0.003","167","0.003","160","0.002","192","0.003","202","0.003","167","0.002",""
"... 8194","29","0","31","0","33","0","22","0","24","0","26","0","28","0",""
"... 8195","19","0","10","0","15","0","10","0","15","0","14","0","12","0",""
"... 8196","44","0.001","40","0.001","39","0.001","50","0.001","48","0.001","48","0.001","43","0.001",""
"... 8197","190","0.003","186","0.003","181","0.003","190","0.003","204","0.003","183","0.003","192","0.003",""
"... 8200","44","0.001","42","0.001","42","0.001","43","0.001","33","0","46","0.001","50","0.001",""
"... 8203","2","0","2","0","2","0","5","0","3","0","9","0","7","0",""
"... 8207","14","0","7","0","6","0","10","0","7","0","6","0","5","0",""
"... 8208","0","0","1","0","0","0","1","0","1","0","0","0","1","0",""
"... 8212","24","0","26","0","36","0.001","27","0","42","0.001","23","0","44","0.001",""
"... 8213","10","0","2","0","2","0","4","0","6","0","3","0","7","0",""
"... 8214","0","0","1","0","1","0","2","0","0","0","0","0","1","0",""
"... 8215","3","0","5","0","7","0","2","0","7","0","4","0","3","0",""
"... 8217","2","0","2","0","0","0","2","0","0","0","2","0","0","0",""
"... 8219","0","0","0","0","1","0","0","0","0","0","2","0","1","0",""
"... 8222","7","0","5","0","4","0","9","0","4","0","6","0","8","0",""
"... 8224","2","0","0","0","4","0","0","0","1","0","2","0","3","0",""
"... 8225","1","0","1","0","1","0","0","0","1","0","0","0","1","0",""
"... 8226","7","0","1","0","1","0","6","0","6","0","3","0","6","0",""
"... 8231","2","0","1","0","0","0","1","0","0","0","1","0","1","0",""
"... 8232","1","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 8233","1","0","2","0","0","0","0","0","0","0","0","0","1","0",""
"... 8234","1","0","1","0","0","0","1","0","1","0","0","0","1","0",""
"... 8235","0","0","1","0","0","0","0","0","2","0","3","0","1","0",""
"... 8236","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 8239","2","0","3","0","2","0","4","0","5","0","0","0","0","0",""
"... 8240","2","0","1","0","1","0","2","0","3","0","3","0","2","0",""
"... 8241","1","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 8242","1","0","1","0","1","0","0","0","2","0","0","0","2","0",""
"... 8245","96","0.001","105","0.002","104","0.002","99","0.001","90","0.001","104","0.002","106","0.002",""
"... 8246","51","0.001","47","0.001","57","0.001","50","0.001","36","0.001","59","0.001","58","0.001",""
"... 8247","48","0.001","34","0.001","36","0.001","43","0.001","44","0.001","37","0.001","36","0.001",""
"... 8248","40","0.001","46","0.001","36","0.001","49","0.001","42","0.001","27","0","39","0.001",""
"... 8252","4","0","4","0","1","0","5","0","3","0","2","0","4","0",""
"... 8253","5","0","2","0","5","0","1","0","5","0","2","0","2","0",""
"... 8254","1","0","0","0","1","0","1","0","2","0","4","0","2","0",""
"... 8255","0","0","0","0","2","0","3","0","0","0","0","0","1","0",""
"... 8259","2","0","1","0","1","0","1","0","1","0","3","0","3","0",""
"... 8260","5","0","6","0","2","0","4","0","4","0","0","0","3","0",""
"... 8261","0","0","2","0","0","0","0","0","1","0","0","0","0","0",""
"... 8262","2","0","2","0","1","0","1","0","0","0","1","0","1","0",""
"... 8264","0","0","2","0","1","0","1","0","0","0","3","0","2","0",""
"... 8265","0","0","1","0","1","0","0","0","0","0","1","0","1","0",""
"... 8266","2","0","3","0","5","0","5","0","3","0","2","0","1","0",""
"... 8267","0","0","1","0","1","0","0","0","1","0","0","0","0","0",""
"... 8269","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 8272","2","0","5","0","2","0","1","0","2","0","3","0","1","0",""
"... 8274","2","0","2","0","2","0","1","0","2","0","0","0","1","0",""
