"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_1234","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=4.344"
"... Sex#M","32724","0.478","32594","0.476","32719","0.478","32442","0.473","32937","0.477","32758","0.475","32903","0.476",""
"... Sex#W","35804","0.522","35881","0.524","35760","0.522","36118","0.527","36183","0.523","36264","0.525","36170","0.524",""
"zivilstand","","","","","","","","","","","","","","","X2=89.793***"
"... (null)","1","0","6","0","2","0","4","0","1","0","3","0","6","0",""
"... Civil stat#G","265","0.004","259","0.004","226","0.003","227","0.003","266","0.004","222","0.003","246","0.004",""
"... Civil stat#GGP","41","0.001","25","0","28","0","31","0","38","0.001","43","0.001","38","0.001",""
"... Civil stat#GPS","62","0.001","56","0.001","71","0.001","66","0.001","49","0.001","47","0.001","53","0.001",""
"... Civil stat#GRP","3","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... Civil stat#GTP","2","0","3","0","1","0","4","0","4","0","2","0","4","0",""
"... Civil stat#H","20201","0.295","19878","0.29","20130","0.294","20207","0.295","20336","0.294","20107","0.291","20548","0.297",""
"... Civil stat#L","37897","0.553","38131","0.557","37814","0.552","37804","0.551","38217","0.553","38419","0.557","38028","0.551",""
"... Civil stat#S","7058","0.103","7124","0.104","7197","0.105","7274","0.106","7334","0.106","7152","0.104","7147","0.103",""
"... Civil stat#U","2","0","0","0","1","0","1","0","1","0","6","0","1","0",""
"... Civil stat#W","2996","0.044","2993","0.044","3009","0.044","2942","0.043","2874","0.042","3021","0.044","3001","0.043",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=45.916"
"... (null)","48716","0.711","48965","0.715","48868","0.714","48857","0.713","49330","0.714","49107","0.711","49176","0.712",""
"... CHResidenc#A","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... CHResidenc#B","5014","0.073","4825","0.07","4859","0.071","4811","0.07","4953","0.072","4921","0.071","5018","0.073",""
"... CHResidenc#C","14607","0.213","14485","0.212","14558","0.213","14716","0.215","14620","0.212","14802","0.214","14695","0.213",""
"... CHResidenc#D","0","0","0","0","0","0","0","0","1","0","0","0","2","0",""
"... CHResidenc#F","156","0.002","164","0.002","152","0.002","137","0.002","169","0.002","153","0.002","139","0.002",""
"... CHResidenc#G","4","0","2","0","6","0","5","0","5","0","1","0","7","0",""
"... CHResidenc#L","27","0","34","0","32","0","30","0","37","0.001","37","0.001","34","0",""
"... CHResidenc#N","3","0","0","0","4","0","3","0","5","0","1","0","2","0",""
"hh_size","","","","","","","","","","","","","","","X2=98.299**"
"... 1","31927","0.466","31976","0.467","31941","0.466","31839","0.464","31854","0.461","32045","0.464","31789","0.46",""
"... 2","10492","0.153","10539","0.154","10643","0.155","10655","0.155","10668","0.154","10625","0.154","10993","0.159",""
"... 3","8515","0.124","8562","0.125","8687","0.127","8703","0.127","8848","0.128","8774","0.127","8439","0.122",""
"... 4","11119","0.162","11069","0.162","10902","0.159","10894","0.159","11234","0.163","11172","0.162","11277","0.163",""
"... 5","4941","0.072","4793","0.07","4798","0.07","4955","0.072","4958","0.072","4852","0.07","4986","0.072",""
"... 6","1145","0.017","1148","0.017","1159","0.017","1094","0.016","1156","0.017","1131","0.016","1176","0.017",""
"... 7","253","0.004","234","0.003","219","0.003","268","0.004","253","0.004","260","0.004","271","0.004",""
"... 8","69","0.001","79","0.001","52","0.001","76","0.001","71","0.001","85","0.001","73","0.001",""
"... 9","33","0","30","0","28","0","26","0","32","0","30","0","29","0",""
"... 10","14","0","23","0","16","0","18","0","17","0","19","0","8","0",""
"... 11","5","0","10","0","19","0","21","0","17","0","17","0","15","0",""
"... 12","13","0","9","0","7","0","8","0","9","0","8","0","15","0",""
"... 13","2","0","3","0","8","0","3","0","3","0","4","0","2","0",""
"hasel","","","","","","","","","","","","","","","X2=16.075"
"... (null)","46877","0.684","46894","0.685","46872","0.684","46857","0.683","47609","0.689","47342","0.686","47541","0.688",""
"... 0","12466","0.182","12380","0.181","12504","0.183","12408","0.181","12371","0.179","12434","0.18","12197","0.177",""
"... 1","9185","0.134","9201","0.134","9103","0.133","9295","0.136","9140","0.132","9246","0.134","9335","0.135",""
"hassh","","","","","","","","","","","","","","","X2=9.256"
"... (null)","18278","0.267","18395","0.269","18498","0.27","18470","0.269","18569","0.269","18726","0.271","18777","0.272",""
"... 0","44666","0.652","44516","0.65","44415","0.649","44456","0.648","44844","0.649","44713","0.648","44597","0.646",""
"... 1","5584","0.081","5564","0.081","5566","0.081","5634","0.082","5707","0.083","5583","0.081","5699","0.083",""
"income_bucket","","","","","","","","","","","","","","","X2=17.435"
"... none","9797","0.353","9689","0.347","9872","0.353","9889","0.356","9787","0.351","9742","0.35","9676","0.348",""
"... <20'000","9668","0.349","9709","0.348","9627","0.344","9498","0.342","9555","0.343","9598","0.345","9607","0.346",""
"... 20'-40'000","4900","0.177","5017","0.18","5020","0.179","4976","0.179","4954","0.178","5047","0.181","5025","0.181",""
"... 40-60'000","2408","0.087","2511","0.09","2478","0.089","2424","0.087","2556","0.092","2466","0.089","2492","0.09",""
"... 60'-80'000","959","0.035","995","0.036","973","0.035","964","0.035","1010","0.036","975","0.035","1004","0.036",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=26.312"
"... none","35901","0.524","35880","0.524","35808","0.523","36030","0.526","36323","0.526","36299","0.526","36239","0.525",""
"... <20'000","13499","0.197","13408","0.196","13511","0.197","13487","0.197","13427","0.194","13454","0.195","13325","0.193",""
"... 20'-40'000","4720","0.069","4800","0.07","4762","0.07","4687","0.068","4721","0.068","4793","0.069","4661","0.067",""
"... 40-60'000","2922","0.043","2986","0.044","3039","0.044","2955","0.043","3017","0.044","3018","0.044","3123","0.045",""
"... 60'-80'000","2137","0.031","2148","0.031","2166","0.032","2188","0.032","2208","0.032","2204","0.032","2174","0.031",""
"... >80'000","9349","0.136","9253","0.135","9193","0.134","9213","0.134","9424","0.136","9254","0.134","9551","0.138",""
"plz4","","","","","","","","","","","","","","","X2=3500.966"
"... 0000","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 0101","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 0169","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 0630","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0650","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 0775","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1000","2","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 1010","0","0","1","0","3","0","2","0","0","0","0","0","2","0",""
"... 1020","1","0","0","0","0","0","0","0","0","0","1","0","2","0",""
"... 1023","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1030","1","0","1","0","0","0","0","0","1","0","1","0","0","0",""
"... 1052","1","0","1","0","2","0","1","0","2","0","0","0","1","0",""
"... 1060","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 1070","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 1074","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1078","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1081","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1090","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 1120","1","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 1122","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1133","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1147","0","0","0","0","1","0","1","0","1","0","1","0","2","0",""
"... 1157","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1160","2","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1170","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 1180","0","0","2","0","1","0","0","0","2","0","1","0","0","0",""
"... 1200","1","0","1","0","0","0","0","0","1","0","1","0","0","0",""
"... 1210","0","0","0","0","1","0","0","0","0","0","1","0","1","0",""
"... 1213","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1214","2","0","3","0","2","0","2","0","2","0","2","0","3","0",""
"... 1220","1","0","0","0","1","0","1","0","0","0","0","0","1","0",""
"... 1230","2","0","2","0","2","0","1","0","1","0","0","0","1","0",""
"... 1238","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 1300","0","0","0","0","0","0","0","0","1","0","0","0","2","0",""
"... 1307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1356","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1361","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1432","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1447","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1612","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 1800","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1801","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2000","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 2007","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2018","1","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 2050","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2100","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 2200","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 2231","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2257","1","0","0","0","1","0","1","0","0","0","1","0","0","0",""
"... 2300","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2324","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 2351","0","0","1","0","1","0","3","0","0","0","0","0","1","0",""
"... 2420","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 2500","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 2510","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 2750","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3000","0","0","0","0","0","0","1","0","1","0","3","0","1","0",""
"... 3020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3040","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3121","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3177","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3215","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 3332","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 3360","0","0","1","0","0","0","0","0","0","0","1","0","1","0",""
"... 3378","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 3460","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 3530","1","0","1","0","1","0","0","0","0","0","0","0","2","0",""
"... 3660","0","0","0","0","1","0","0","0","2","0","2","0","1","0",""
"... 3700","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 3762","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 3800","4","0","0","0","3","0","1","0","0","0","0","0","2","0",""
"... 4000","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 4020","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4040","1","0","1","0","1","0","4","0","1","0","4","0","3","0",""
"... 4203","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4218","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
