"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_123","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=2.291"
"... Sex#M","32898","0.477","32709","0.476","32954","0.477","32580","0.474","32751","0.477","32738","0.477","32447","0.475",""
"... Sex#W","36107","0.523","36026","0.524","36096","0.523","36160","0.526","35974","0.523","35939","0.523","35878","0.525",""
"zivilstand","","","","","","","","","","","","","","","X2=75.812*"
"... (null)","3","0","2","0","2","0","6","0","4","0","3","0","3","0",""
"... Civil stat#G","258","0.004","231","0.003","234","0.003","236","0.003","234","0.003","264","0.004","254","0.004",""
"... Civil stat#GGP","32","0","30","0","41","0.001","39","0.001","33","0","37","0.001","32","0",""
"... Civil stat#GPS","57","0.001","49","0.001","60","0.001","64","0.001","61","0.001","73","0.001","40","0.001",""
"... Civil stat#GRP","1","0","0","0","1","0","0","0","1","0","0","0","1","0",""
"... Civil stat#GTP","3","0","2","0","2","0","5","0","2","0","3","0","3","0",""
"... Civil stat#H","20123","0.292","20304","0.295","20407","0.296","20353","0.296","20279","0.295","20081","0.292","19860","0.291",""
"... Civil stat#L","38329","0.555","38057","0.554","38112","0.552","38017","0.553","37847","0.551","37878","0.552","38070","0.557",""
"... Civil stat#S","7196","0.104","7184","0.105","7318","0.106","7160","0.104","7132","0.104","7234","0.105","7062","0.103",""
"... Civil stat#U","0","0","1","0","1","0","4","0","3","0","1","0","2","0",""
"... Civil stat#W","3003","0.044","2875","0.042","2872","0.042","2856","0.042","3129","0.046","3103","0.045","2998","0.044",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=49.457"
"... (null)","49156","0.712","48959","0.712","49205","0.713","48829","0.71","49045","0.714","49039","0.714","48786","0.714",""
"... CHResidenc#A","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... CHResidenc#B","4933","0.071","4889","0.071","4905","0.071","5035","0.073","4895","0.071","4877","0.071","4867","0.071",""
"... CHResidenc#C","14718","0.213","14725","0.214","14730","0.213","14663","0.213","14609","0.213","14566","0.212","14472","0.212",""
"... CHResidenc#D","1","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... CHResidenc#F","158","0.002","136","0.002","168","0.002","172","0.003","130","0.002","159","0.002","147","0.002",""
"... CHResidenc#G","3","0","3","0","3","0","3","0","3","0","5","0","10","0",""
"... CHResidenc#L","34","0","22","0","36","0.001","34","0","40","0.001","25","0","40","0.001",""
"... CHResidenc#N","2","0","0","0","2","0","4","0","3","0","5","0","2","0",""
"hh_size","","","","","","","","","","","","","","","X2=54.598"
"... 1","32319","0.468","31866","0.464","31921","0.462","31944","0.465","31684","0.461","31988","0.466","31649","0.463",""
"... 2","10622","0.154","10827","0.158","10623","0.154","10647","0.155","10722","0.156","10593","0.154","10581","0.155",""
"... 3","8683","0.126","8696","0.127","8700","0.126","8622","0.125","8643","0.126","8545","0.124","8639","0.126",""
"... 4","10978","0.159","10956","0.159","11235","0.163","11107","0.162","11191","0.163","11076","0.161","11124","0.163",""
"... 5","4847","0.07","4854","0.071","5023","0.073","4873","0.071","4994","0.073","4925","0.072","4767","0.07",""
"... 6","1166","0.017","1155","0.017","1138","0.016","1158","0.017","1111","0.016","1134","0.017","1147","0.017",""
"... 7","233","0.003","242","0.004","258","0.004","255","0.004","243","0.004","262","0.004","265","0.004",""
"... 8","71","0.001","74","0.001","71","0.001","66","0.001","73","0.001","79","0.001","71","0.001",""
"... 9","36","0.001","28","0","34","0","27","0","25","0","27","0","31","0",""
"... 10","20","0","12","0","21","0","13","0","12","0","18","0","19","0",""
"... 11","11","0","14","0","13","0","18","0","14","0","17","0","17","0",""
"... 12","15","0","8","0","8","0","8","0","11","0","11","0","8","0",""
"... 13","4","0","3","0","5","0","2","0","2","0","2","0","7","0",""
"hasel","","","","","","","","","","","","","","","X2=19.116*"
"... (null)","47078","0.682","47203","0.687","47599","0.689","47213","0.687","47034","0.684","47011","0.685","46854","0.686",""
"... 0","12666","0.184","12252","0.178","12254","0.177","12373","0.18","12318","0.179","12481","0.182","12416","0.182",""
"... 1","9261","0.134","9280","0.135","9197","0.133","9154","0.133","9373","0.136","9185","0.134","9055","0.133",""
"hassh","","","","","","","","","","","","","","","X2=5.321"
"... (null)","18661","0.27","18524","0.269","18574","0.269","18520","0.269","18460","0.269","18507","0.269","18467","0.27",""
"... 0","44635","0.647","44641","0.649","44867","0.65","44522","0.648","44692","0.65","44521","0.648","44329","0.649",""
"... 1","5709","0.083","5570","0.081","5609","0.081","5698","0.083","5573","0.081","5649","0.082","5529","0.081",""
"income_bucket","","","","","","","","","","","","","","","X2=22.197"
"... none","9803","0.35","9712","0.348","9739","0.348","9908","0.356","9762","0.353","9886","0.355","9642","0.351",""
"... <20'000","9751","0.348","9797","0.351","9732","0.347","9537","0.342","9342","0.338","9545","0.342","9558","0.348",""
"... 20'-40'000","5034","0.18","4918","0.176","5033","0.18","4986","0.179","5070","0.183","4980","0.179","4918","0.179",""
"... 40-60'000","2466","0.088","2488","0.089","2504","0.089","2484","0.089","2479","0.09","2494","0.089","2420","0.088",""
"... 60'-80'000","986","0.035","999","0.036","1013","0.036","946","0.034","992","0.036","982","0.035","962","0.035",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=26.788"
"... none","36299","0.526","36235","0.527","36191","0.524","36037","0.524","35983","0.524","36011","0.524","35724","0.523",""
"... <20'000","13360","0.194","13371","0.195","13608","0.197","13325","0.194","13516","0.197","13456","0.196","13475","0.197",""
"... 20'-40'000","4835","0.07","4678","0.068","4751","0.069","4736","0.069","4774","0.069","4634","0.067","4736","0.069",""
"... 40-60'000","2967","0.043","3032","0.044","3070","0.044","2977","0.043","3001","0.044","2983","0.043","3030","0.044",""
"... 60'-80'000","2217","0.032","2147","0.031","2208","0.032","2263","0.033","2110","0.031","2176","0.032","2104","0.031",""
"... >80'000","9327","0.135","9272","0.135","9222","0.134","9402","0.137","9341","0.136","9417","0.137","9256","0.135",""
"plz4","","","","","","","","","","","","","","","X2=3549.344"
"... 0000","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 0101","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0169","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 0630","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0650","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 0775","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1000","1","0","1","0","0","0","2","0","0","0","0","0","1","0",""
"... 1010","0","0","1","0","2","0","3","0","1","0","1","0","0","0",""
"... 1020","1","0","0","0","0","0","1","0","0","0","1","0","1","0",""
"... 1023","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1030","1","0","1","0","1","0","0","0","0","0","0","0","1","0",""
"... 1052","1","0","2","0","2","0","1","0","0","0","1","0","1","0",""
"... 1060","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 1070","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1074","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1078","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1081","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1090","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 1120","0","0","0","0","0","0","2","0","1","0","0","0","0","0",""
"... 1122","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1133","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1147","0","0","2","0","1","0","2","0","0","0","0","0","1","0",""
"... 1157","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1160","1","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 1170","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1180","2","0","1","0","0","0","1","0","2","0","0","0","0","0",""
"... 1200","0","0","0","0","3","0","0","0","0","0","0","0","1","0",""
"... 1210","0","0","0","0","0","0","0","0","0","0","2","0","1","0",""
"... 1213","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1214","2","0","3","0","2","0","0","0","4","0","2","0","3","0",""
"... 1220","1","0","2","0","1","0","0","0","0","0","0","0","0","0",""
"... 1230","1","0","0","0","1","0","1","0","2","0","2","0","2","0",""
"... 1238","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 1300","1","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 1307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1356","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1361","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1432","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1447","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1612","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1800","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1801","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2000","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2007","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2018","0","0","0","0","0","0","1","0","0","0","2","0","0","0",""
"... 2050","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2100","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 2200","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2231","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2257","0","0","0","0","2","0","0","0","1","0","1","0","0","0",""
"... 2300","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2307","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2324","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 2351","1","0","1","0","0","0","1","0","1","0","2","0","0","0",""
"... 2420","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2500","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 2510","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 2750","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3000","0","0","1","0","1","0","0","0","1","0","2","0","1","0",""
"... 3020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3040","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3121","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 3177","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 3215","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 3332","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3360","1","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 3378","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 3460","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 3530","0","0","2","0","2","0","1","0","0","0","0","0","0","0",""
"... 3660","2","0","0","0","0","0","0","0","2","0","1","0","1","0",""
"... 3700","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3762","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 3800","4","0","1","0","2","0","0","0","2","0","0","0","1","0",""
"... 4000","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 4020","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 4040","0","0","2","0","4","0","0","0","3","0","6","0","0","0",""
"... 4203","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 4218","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 4414","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4420","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 4580","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
