"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 4690","0","0","1","0","2","0","0","0","1","0","0","0","1","0",""
"... 4755","1","0","1","0","2","0","1","0","0","0","0","0","1","0",""
"... 4770","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 4814","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 4820","2","0","0","0","1","0","1","0","0","0","1","0","1","0",""
"... 4850","0","0","0","0","1","0","0","0","0","0","2","0","1","0",""
"... 4880","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 5000","3","0","1","0","1","0","1","0","4","0","2","0","0","0",""
"... 5020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5043","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 5144","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 5161","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 5462","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 5476","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 5600","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 5700","0","0","0","0","2","0","0","0","1","0","0","0","1","0",""
"... 5710","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 5743","1","0","0","0","1","0","0","0","1","0","0","0","1","0",""
"... 5760","1","0","0","0","0","0","1","0","1","0","1","0","1","0",""
"... 5800","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6000","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6020","0","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 6046","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6050","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6060","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 6100","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6104","1","0","0","0","1","0","1","0","1","0","0","0","1","0",""
"... 6166","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6200","0","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 6250","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6310","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 6328","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6330","3","0","0","0","2","0","1","0","2","0","1","0","1","0",""
"... 6334","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 6336","2","0","1","0","0","0","4","0","1","0","0","0","0","0",""
"... 6429","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6433","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6500","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6690","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6708","0","0","0","0","0","0","2","0","0","0","4","0","0","0",""
"... 6754","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6830","1","0","0","0","0","0","0","0","1","0","1","0","1","0",""
"... 6850","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6900","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 6971","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6985","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7000","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7020","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7030","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 7033","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7130","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7141","0","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 7201","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7262","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7332","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7440","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7461","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7590","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 7623","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7631","1","0","0","0","0","0","0","0","1","0","1","0","1","0",""
"... 7700","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 8000","1","0","1","0","0","0","1","0","0","0","2","0","0","0",""
"... 8001","279","0.004","301","0.004","302","0.004","313","0.005","290","0.004","291","0.004","314","0.005",""
"... 8002","246","0.004","231","0.003","265","0.004","238","0.004","264","0.004","287","0.004","280","0.004",""
"... 8003","1040","0.015","1000","0.015","1104","0.016","1089","0.016","1061","0.016","1029","0.015","1052","0.016",""
"... 8004","1495","0.022","1487","0.022","1532","0.023","1576","0.023","1521","0.023","1530","0.023","1478","0.022",""
"... 8005","1377","0.02","1397","0.021","1380","0.02","1438","0.021","1444","0.022","1391","0.021","1389","0.021",""
"... 8006","522","0.008","540","0.008","499","0.007","473","0.007","467","0.007","475","0.007","509","0.008",""
"... 8008","487","0.007","527","0.008","494","0.007","461","0.007","485","0.007","483","0.007","481","0.007",""
"... 8010","0","0","1","0","0","0","1","0","1","0","0","0","2","0",""
"... 8020","1","0","2","0","1","0","1","0","0","0","2","0","1","0",""
"... 8032","429","0.006","481","0.007","419","0.006","456","0.007","451","0.007","441","0.007","462","0.007",""
"... 8037","704","0.01","710","0.011","749","0.011","750","0.011","735","0.011","701","0.01","690","0.01",""
"... 8038","803","0.012","714","0.011","725","0.011","705","0.011","723","0.011","732","0.011","711","0.011",""
"... 8041","376","0.006","422","0.006","431","0.006","445","0.007","395","0.006","395","0.006","367","0.006",""
"... 8044","206","0.003","182","0.003","202","0.003","216","0.003","193","0.003","168","0.003","195","0.003",""
"... 8045","534","0.008","532","0.008","555","0.008","543","0.008","501","0.007","546","0.008","562","0.008",""
"... 8046","1540","0.023","1564","0.023","1421","0.021","1521","0.023","1494","0.022","1481","0.022","1453","0.022",""
"... 8047","911","0.014","936","0.014","896","0.013","918","0.014","908","0.014","941","0.014","952","0.014",""
"... 8048","1487","0.022","1439","0.021","1469","0.022","1478","0.022","1535","0.023","1570","0.023","1500","0.023",""
"... 8049","862","0.013","847","0.013","872","0.013","796","0.012","827","0.012","860","0.013","839","0.013",""
"... 8050","1465","0.022","1528","0.023","1528","0.023","1494","0.022","1491","0.022","1574","0.024","1566","0.023",""
"... 8051","1576","0.023","1560","0.023","1604","0.024","1532","0.023","1620","0.024","1621","0.024","1570","0.024",""
"... 8052","1141","0.017","1204","0.018","1153","0.017","1170","0.017","1163","0.017","1185","0.018","1155","0.017",""
"... 8053","347","0.005","369","0.006","382","0.006","322","0.005","338","0.005","357","0.005","337","0.005",""
"... 8055","943","0.014","969","0.014","944","0.014","911","0.014","939","0.014","950","0.014","951","0.014",""
"... 8057","915","0.014","956","0.014","932","0.014","934","0.014","913","0.014","876","0.013","885","0.013",""
"... 8063","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8064","268","0.004","300","0.004","280","0.004","247","0.004","241","0.004","234","0.003","261","0.004",""
"... 8102","317","0.005","333","0.005","315","0.005","295","0.004","295","0.004","301","0.004","320","0.005",""
"... 8103","130","0.002","147","0.002","120","0.002","128","0.002","135","0.002","117","0.002","140","0.002",""
"... 8104","67","0.001","63","0.001","66","0.001","73","0.001","86","0.001","75","0.001","74","0.001",""
"... 8105","723","0.011","707","0.011","687","0.01","707","0.011","677","0.01","708","0.011","702","0.011",""
"... 8106","271","0.004","315","0.005","284","0.004","302","0.005","302","0.005","277","0.004","271","0.004",""
"... 8107","307","0.005","302","0.005","322","0.005","306","0.005","293","0.004","287","0.004","313","0.005",""
"... 8108","170","0.003","188","0.003","217","0.003","190","0.003","220","0.003","182","0.003","208","0.003",""
"... 8110","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 8112","112","0.002","113","0.002","93","0.001","98","0.001","100","0.001","87","0.001","119","0.002",""
"... 8113","29","0","32","0","30","0","38","0.001","33","0","26","0","18","0",""
"... 8114","79","0.001","70","0.001","66","0.001","100","0.001","96","0.001","89","0.001","95","0.001",""
"... 8115","25","0","16","0","22","0","16","0","18","0","15","0","22","0",""
"... 8117","190","0.003","186","0.003","186","0.003","197","0.003","183","0.003","182","0.003","184","0.003",""
"... 8118","61","0.001","57","0.001","64","0.001","57","0.001","62","0.001","55","0.001","62","0.001",""
"... 8121","86","0.001","71","0.001","81","0.001","92","0.001","80","0.001","91","0.001","89","0.001",""
"... 8122","62","0.001","60","0.001","64","0.001","46","0.001","68","0.001","84","0.001","70","0.001",""
"... 8123","68","0.001","72","0.001","87","0.001","60","0.001","65","0.001","63","0.001","78","0.001",""
"... 8124","49","0.001","36","0.001","58","0.001","44","0.001","52","0.001","56","0.001","44","0.001",""
"... 8125","142","0.002","133","0.002","124","0.002","150","0.002","120","0.002","133","0.002","106","0.002",""
"... 8126","96","0.001","125","0.002","127","0.002","118","0.002","119","0.002","103","0.002","117","0.002",""
"... 8127","131","0.002","130","0.002","119","0.002","109","0.002","130","0.002","112","0.002","114","0.002",""
"... 8132","209","0.003","215","0.003","216","0.003","238","0.004","220","0.003","214","0.003","200","0.003",""
"... 8133","56","0.001","64","0.001","43","0.001","66","0.001","57","0.001","44","0.001","64","0.001",""
"... 8134","704","0.01","711","0.011","733","0.011","719","0.011","729","0.011","681","0.01","736","0.011",""
"... 8135","285","0.004","290","0.004","261","0.004","269","0.004","252","0.004","290","0.004","260","0.004",""
"... 8136","86","0.001","91","0.001","97","0.001","84","0.001","96","0.001","89","0.001","87","0.001",""
"... 8142","83","0.001","85","0.001","76","0.001","87","0.001","82","0.001","87","0.001","76","0.001",""
"... 8143","101","0.002","109","0.002","77","0.001","91","0.001","89","0.001","87","0.001","95","0.001",""
"... 8152","1128","0.017","1140","0.017","1145","0.017","1165","0.017","1159","0.017","1159","0.017","1064","0.016",""
"... 8153","443","0.007","421","0.006","433","0.006","416","0.006","442","0.007","415","0.006","437","0.007",""
"... 8154","414","0.006","402","0.006","438","0.007","399","0.006","417","0.006","380","0.006","394","0.006",""
"... 8155","360","0.005","335","0.005","356","0.005","336","0.005","340","0.005","361","0.005","354","0.005",""
"... 8156","59","0.001","88","0.001","62","0.001","73","0.001","72","0.001","73","0.001","83","0.001",""
"... 8157","235","0.003","272","0.004","250","0.004","245","0.004","284","0.004","295","0.004","238","0.004",""
"... 8158","17","0","5","0","15","0","10","0","10","0","12","0","15","0",""
"... 8162","124","0.002","122","0.002","151","0.002","134","0.002","135","0.002","146","0.002","144","0.002",""
"... 8164","23","0","23","0","21","0","20","0","27","0","23","0","24","0",""
"... 8165","135","0.002","136","0.002","124","0.002","145","0.002","136","0.002","158","0.002","142","0.002",""
"... 8166","107","0.002","89","0.001","102","0.002","117","0.002","107","0.002","119","0.002","99","0.001",""
"... 8172","240","0.004","206","0.003","217","0.003","232","0.003","212","0.003","225","0.003","251","0.004",""
"... 8173","60","0.001","77","0.001","66","0.001","72","0.001","60","0.001","68","0.001","72","0.001",""
"... 8174","59","0.001","59","0.001","56","0.001","60","0.001","50","0.001","57","0.001","64","0.001",""
"... 8175","22","0","17","0","29","0","26","0","20","0","24","0","26","0",""
"... 8180","1151","0.017","1122","0.017","1095","0.016","1144","0.017","1162","0.017","1059","0.016","1084","0.016",""
"... 8181","168","0.002","154","0.002","174","0.003","165","0.002","167","0.002","181","0.003","164","0.002",""
"... 8182","66","0.001","64","0.001","63","0.001","85","0.001","84","0.001","62","0.001","72","0.001",""
"... 8184","202","0.003","207","0.003","188","0.003","206","0.003","189","0.003","206","0.003","206","0.003",""
"... 8185","110","0.002","107","0.002","111","0.002","108","0.002","106","0.002","109","0.002","110","0.002",""
"... 8187","97","0.001","82","0.001","93","0.001","77","0.001","91","0.001","87","0.001","103","0.002",""
"... 8192","197","0.003","201","0.003","198","0.003","201","0.003","223","0.003","232","0.003","230","0.003",""
"... 8193","174","0.003","176","0.003","185","0.003","183","0.003","181","0.003","167","0.002","187","0.003",""
"... 8194","30","0","29","0","23","0","26","0","29","0","29","0","27","0",""
"... 8195","11","0","17","0","11","0","19","0","13","0","13","0","11","0",""
"... 8196","39","0.001","46","0.001","44","0.001","49","0.001","55","0.001","48","0.001","31","0",""
"... 8197","177","0.003","193","0.003","191","0.003","194","0.003","182","0.003","186","0.003","203","0.003",""
"... 8200","42","0.001","48","0.001","46","0.001","37","0.001","38","0.001","39","0.001","50","0.001",""
"... 8203","6","0","3","0","5","0","4","0","3","0","6","0","3","0",""
"... 8207","6","0","7","0","11","0","6","0","12","0","7","0","6","0",""
"... 8208","2","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 8212","34","0.001","36","0.001","20","0","39","0.001","37","0.001","32","0","24","0",""
"... 8213","5","0","4","0","7","0","4","0","5","0","4","0","5","0",""
"... 8214","1","0","1","0","0","0","0","0","1","0","0","0","2","0",""
"... 8215","6","0","3","0","4","0","5","0","2","0","4","0","7","0",""
"... 8217","3","0","1","0","1","0","1","0","0","0","0","0","2","0",""
"... 8219","0","0","0","0","1","0","0","0","1","0","2","0","0","0",""
"... 8222","6","0","5","0","10","0","3","0","7","0","7","0","5","0",""
"... 8224","3","0","0","0","4","0","0","0","1","0","2","0","2","0",""
"... 8225","0","0","0","0","0","0","2","0","1","0","2","0","0","0",""
"... 8226","6","0","3","0","6","0","4","0","6","0","3","0","2","0",""
"... 8231","1","0","1","0","1","0","0","0","3","0","0","0","0","0",""
"... 8232","1","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 8233","0","0","0","0","2","0","1","0","0","0","1","0","0","0",""
"... 8234","0","0","0","0","1","0","1","0","3","0","0","0","0","0",""
"... 8235","0","0","1","0","0","0","0","0","3","0","2","0","1","0",""
"... 8236","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 8239","2","0","1","0","3","0","1","0","2","0","3","0","4","0",""
"... 8240","1","0","2","0","2","0","2","0","1","0","2","0","4","0",""
"... 8241","1","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 8242","1","0","0","0","1","0","1","0","2","0","0","0","2","0",""
"... 8245","107","0.002","106","0.002","108","0.002","97","0.001","89","0.001","88","0.001","109","0.002",""
"... 8246","51","0.001","58","0.001","60","0.001","39","0.001","38","0.001","59","0.001","53","0.001",""
"... 8247","27","0","42","0.001","36","0.001","40","0.001","48","0.001","42","0.001","43","0.001",""
"... 8248","36","0.001","38","0.001","43","0.001","44","0.001","36","0.001","37","0.001","45","0.001",""
"... 8252","4","0","1","0","5","0","1","0","3","0","5","0","4","0",""
"... 8253","3","0","3","0","5","0","3","0","2","0","5","0","1","0",""
"... 8254","0","0","1","0","0","0","2","0","2","0","3","0","3","0",""
"... 8255","1","0","1","0","1","0","1","0","0","0","0","0","2","0",""
"... 8259","3","0","3","0","1","0","1","0","3","0","0","0","1","0",""
"... 8260","4","0","3","0","7","0","2","0","3","0","2","0","3","0",""
"... 8261","0","0","1","0","1","0","0","0","0","0","1","0","0","0",""
"... 8262","1","0","0","0","4","0","1","0","2","0","0","0","0","0",""
"... 8264","1","0","1","0","4","0","1","0","1","0","0","0","1","0",""
"... 8265","1","0","0","0","0","0","0","0","1","0","1","0","1","0",""
"... 8266","4","0","5","0","1","0","4","0","2","0","3","0","2","0",""
"... 8267","0","0","1","0","1","0","0","0","1","0","0","0","0","0",""
"... 8269","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 8272","2","0","1","0","2","0","2","0","3","0","4","0","2","0",""
"... 8274","0","0","1","0","1","0","4","0","0","0","2","0","2","0",""
