"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... (null)","18612","0.269","18801","0.271","18419","0.268","18633","0.272","18355","0.267","18294","0.268","18599","0.272",""
"... 0","44895","0.649","44781","0.646","44743","0.65","44399","0.648","44676","0.65","44580","0.652","44133","0.646",""
"... 1","5690","0.082","5731","0.083","5694","0.083","5462","0.08","5655","0.082","5499","0.08","5606","0.082",""
"income_bucket","","","","","","","","","","","","","","","X2=31.649"
"... none","9715","0.347","9858","0.349","9909","0.353","9627","0.348","9788","0.354","9649","0.351","9906","0.357",""
"... <20'000","9703","0.346","9812","0.348","9518","0.339","9559","0.345","9571","0.346","9526","0.346","9573","0.345",""
"... 20'-40'000","5031","0.179","5055","0.179","5123","0.183","5007","0.181","4932","0.178","4889","0.178","4902","0.177",""
"... 40-60'000","2537","0.091","2475","0.088","2481","0.088","2501","0.09","2416","0.087","2535","0.092","2390","0.086",""
"... 60'-80'000","1045","0.037","1013","0.036","1028","0.037","977","0.035","947","0.034","916","0.033","954","0.034",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=31.295"
"... none","36264","0.524","36406","0.525","36197","0.526","35716","0.521","36134","0.526","36028","0.527","35735","0.523",""
"... <20'000","13607","0.197","13376","0.193","13455","0.195","13528","0.198","13344","0.194","13304","0.195","13497","0.198",""
"... 20'-40'000","4864","0.07","4809","0.069","4691","0.068","4720","0.069","4685","0.068","4654","0.068","4721","0.069",""
"... 40-60'000","2982","0.043","3028","0.044","3003","0.044","3050","0.045","3131","0.046","2910","0.043","2956","0.043",""
"... 60'-80'000","2157","0.031","2177","0.031","2216","0.032","2203","0.032","2138","0.031","2116","0.031","2218","0.032",""
"... >80'000","9323","0.135","9517","0.137","9294","0.135","9277","0.135","9254","0.135","9361","0.137","9211","0.135",""
"plz4","","","","","","","","","","","","","","","X2=3639.945"
"... 0000","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 0101","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0169","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 0630","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 0650","0","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 0775","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1000","2","0","1","0","0","0","0","0","1","0","0","0","1","0",""
"... 1010","2","0","2","0","1","0","1","0","0","0","0","0","2","0",""
"... 1020","3","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1023","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1030","0","0","1","0","1","0","0","0","0","0","1","0","1","0",""
"... 1052","1","0","3","0","0","0","2","0","0","0","1","0","1","0",""
"... 1060","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1070","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1074","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1078","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1081","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1090","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1120","0","0","0","0","1","0","1","0","0","0","1","0","0","0",""
"... 1122","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1133","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1147","2","0","0","0","0","0","1","0","2","0","1","0","0","0",""
"... 1157","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1160","1","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 1170","0","0","0","0","0","0","2","0","0","0","0","0","0","0",""
"... 1180","0","0","0","0","1","0","2","0","1","0","0","0","2","0",""
"... 1200","0","0","0","0","0","0","2","0","0","0","1","0","1","0",""
"... 1210","2","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1213","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1214","5","0","3","0","2","0","1","0","3","0","0","0","2","0",""
"... 1220","1","0","0","0","0","0","1","0","0","0","1","0","1","0",""
"... 1230","2","0","0","0","0","0","1","0","3","0","1","0","2","0",""
"... 1238","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1300","1","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 1307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1356","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1361","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1432","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1447","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1612","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1800","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1801","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2000","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 2007","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2018","0","0","2","0","0","0","0","0","0","0","0","0","1","0",""
"... 2050","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2100","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 2200","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2231","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2257","1","0","0","0","0","0","0","0","0","0","2","0","1","0",""
"... 2300","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2324","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 2351","0","0","1","0","1","0","0","0","2","0","2","0","0","0",""
"... 2420","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 2500","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 2510","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 2750","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3000","0","0","1","0","2","0","0","0","2","0","1","0","0","0",""
"... 3020","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3040","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3121","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 3177","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 3215","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 3332","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3360","0","0","0","0","1","0","1","0","0","0","1","0","0","0",""
"... 3378","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3460","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 3530","1","0","0","0","0","0","2","0","0","0","0","0","2","0",""
"... 3660","1","0","1","0","0","0","1","0","0","0","2","0","1","0",""
"... 3700","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 3762","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 3800","1","0","1","0","2","0","0","0","1","0","3","0","2","0",""
"... 4000","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 4020","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 4040","1","0","0","0","5","0","3","0","2","0","2","0","2","0",""
"... 4203","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 4218","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 4414","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4420","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 4580","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 4690","0","0","0","0","1","0","2","0","1","0","0","0","1","0",""
"... 4755","1","0","0","0","1","0","1","0","2","0","1","0","0","0",""
"... 4770","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 4814","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 4820","0","0","2","0","2","0","1","0","1","0","0","0","0","0",""
"... 4850","0","0","1","0","2","0","0","0","1","0","0","0","0","0",""
"... 4880","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 5000","3","0","3","0","1","0","0","0","3","0","0","0","2","0",""
"... 5020","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5043","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5144","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 5161","0","0","2","0","0","0","0","0","0","0","0","0","0","0",""
"... 5462","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 5476","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 5600","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 5700","1","0","0","0","1","0","1","0","0","0","0","0","1","0",""
"... 5710","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 5743","1","0","1","0","1","0","1","0","0","0","0","0","0","0",""
"... 5760","2","0","0","0","0","0","1","0","1","0","0","0","1","0",""
"... 5800","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6000","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6020","0","0","1","0","0","0","0","0","0","0","0","0","2","0",""
"... 6046","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6050","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6060","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 6100","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 6104","0","0","1","0","1","0","0","0","2","0","0","0","1","0",""
"... 6166","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6200","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 6250","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 6310","0","0","0","0","0","0","0","0","2","0","0","0","0","0",""
"... 6328","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 6330","0","0","1","0","2","0","1","0","1","0","1","0","4","0",""
"... 6334","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6336","1","0","0","0","3","0","0","0","1","0","2","0","1","0",""
"... 6429","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 6433","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6500","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6550","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 6690","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6708","1","0","0","0","1","0","2","0","1","0","1","0","0","0",""
"... 6754","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 6830","0","0","2","0","1","0","0","0","1","0","0","0","0","0",""
"... 6850","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 6900","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 6971","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 6985","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 7000","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 7020","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7030","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 7033","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7130","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 7141","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 7201","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 7262","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7332","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7440","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 7461","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 7590","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 7623","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 7631","0","0","0","0","0","0","2","0","1","0","0","0","1","0",""
"... 7700","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 8000","1","0","0","0","1","0","0","0","0","0","1","0","2","0",""
"... 8001","283","0.004","291","0.004","325","0.005","298","0.004","295","0.004","294","0.004","304","0.005",""
"... 8002","261","0.004","271","0.004","249","0.004","261","0.004","247","0.004","256","0.004","266","0.004",""
"... 8003","1027","0.015","1036","0.015","1058","0.016","1083","0.016","1062","0.016","1043","0.016","1066","0.016",""
"... 8004","1512","0.022","1553","0.023","1442","0.021","1581","0.024","1538","0.023","1522","0.023","1471","0.022",""
"... 8005","1348","0.02","1446","0.021","1396","0.021","1425","0.021","1434","0.021","1378","0.021","1389","0.021",""
"... 8006","535","0.008","446","0.007","514","0.008","477","0.007","474","0.007","503","0.008","536","0.008",""
"... 8008","462","0.007","500","0.007","525","0.008","514","0.008","497","0.007","452","0.007","468","0.007",""
"... 8010","0","0","1","0","1","0","2","0","1","0","0","0","0","0",""
"... 8020","0","0","2","0","0","0","1","0","1","0","2","0","2","0",""
"... 8032","470","0.007","473","0.007","409","0.006","443","0.007","457","0.007","415","0.006","472","0.007",""
"... 8037","747","0.011","718","0.011","781","0.012","682","0.01","710","0.011","703","0.011","698","0.01",""
"... 8038","753","0.011","720","0.011","722","0.011","703","0.011","738","0.011","737","0.011","740","0.011",""
"... 8041","413","0.006","409","0.006","386","0.006","387","0.006","394","0.006","422","0.006","420","0.006",""
"... 8044","174","0.003","210","0.003","210","0.003","192","0.003","199","0.003","186","0.003","191","0.003",""
"... 8045","505","0.007","559","0.008","596","0.009","520","0.008","551","0.008","516","0.008","526","0.008",""
"... 8046","1516","0.022","1473","0.022","1549","0.023","1448","0.022","1479","0.022","1501","0.023","1508","0.023",""
"... 8047","920","0.014","922","0.014","930","0.014","888","0.013","939","0.014","958","0.014","905","0.014",""
"... 8048","1570","0.023","1523","0.023","1551","0.023","1506","0.023","1491","0.022","1407","0.021","1430","0.021",""
"... 8049","828","0.012","819","0.012","910","0.014","826","0.012","839","0.013","857","0.013","824","0.012",""
"... 8050","1525","0.023","1520","0.022","1524","0.023","1568","0.023","1455","0.022","1482","0.022","1572","0.024",""
"... 8051","1586","0.024","1677","0.025","1580","0.024","1561","0.023","1574","0.023","1543","0.023","1562","0.023",""
"... 8052","1190","0.018","1120","0.017","1135","0.017","1187","0.018","1200","0.018","1170","0.018","1169","0.018",""
"... 8053","362","0.005","353","0.005","368","0.005","332","0.005","363","0.005","366","0.005","308","0.005",""
"... 8055","908","0.013","956","0.014","925","0.014","974","0.015","931","0.014","958","0.014","955","0.014",""
"... 8057","869","0.013","953","0.014","895","0.013","922","0.014","901","0.013","931","0.014","940","0.014",""
"... 8063","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 8064","250","0.004","250","0.004","249","0.004","264","0.004","277","0.004","269","0.004","272","0.004",""
"... 8102","306","0.005","306","0.005","327","0.005","330","0.005","315","0.005","278","0.004","314","0.005",""
"... 8103","142","0.002","155","0.002","130","0.002","122","0.002","109","0.002","116","0.002","143","0.002",""
"... 8104","69","0.001","70","0.001","68","0.001","80","0.001","70","0.001","76","0.001","71","0.001",""
"... 8105","675","0.01","684","0.01","736","0.011","689","0.01","705","0.011","696","0.01","726","0.011",""
"... 8106","285","0.004","300","0.004","307","0.005","283","0.004","271","0.004","291","0.004","285","0.004",""
"... 8107","284","0.004","312","0.005","310","0.005","315","0.005","279","0.004","320","0.005","310","0.005",""
"... 8108","213","0.003","188","0.003","174","0.003","205","0.003","218","0.003","193","0.003","184","0.003",""
"... 8110","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 8112","116","0.002","95","0.001","102","0.002","89","0.001","89","0.001","131","0.002","100","0.001",""
"... 8113","41","0.001","24","0","28","0","28","0","29","0","30","0","26","0",""
"... 8114","89","0.001","84","0.001","95","0.001","71","0.001","90","0.001","78","0.001","88","0.001",""
"... 8115","19","0","22","0","15","0","18","0","20","0","23","0","17","0",""
"... 8117","163","0.002","178","0.003","204","0.003","183","0.003","190","0.003","194","0.003","196","0.003",""
"... 8118","71","0.001","54","0.001","48","0.001","53","0.001","65","0.001","71","0.001","56","0.001",""
"... 8121","80","0.001","80","0.001","85","0.001","84","0.001","89","0.001","87","0.001","85","0.001",""
"... 8122","60","0.001","65","0.001","68","0.001","62","0.001","66","0.001","58","0.001","75","0.001",""
"... 8123","66","0.001","50","0.001","72","0.001","69","0.001","73","0.001","88","0.001","75","0.001",""
"... 8124","48","0.001","34","0.001","54","0.001","55","0.001","52","0.001","51","0.001","45","0.001",""
"... 8125","118","0.002","141","0.002","146","0.002","119","0.002","127","0.002","129","0.002","128","0.002",""
"... 8126","126","0.002","124","0.002","115","0.002","111","0.002","114","0.002","102","0.002","113","0.002",""
"... 8127","113","0.002","136","0.002","116","0.002","132","0.002","113","0.002","138","0.002","97","0.001",""
"... 8132","241","0.004","205","0.003","215","0.003","189","0.003","215","0.003","223","0.003","224","0.003",""
"... 8133","53","0.001","56","0.001","45","0.001","71","0.001","62","0.001","59","0.001","48","0.001",""
"... 8134","742","0.011","753","0.011","685","0.01","697","0.01","696","0.01","740","0.011","700","0.01",""
"... 8135","294","0.004","296","0.004","295","0.004","255","0.004","254","0.004","250","0.004","263","0.004",""
"... 8136","88","0.001","91","0.001","102","0.002","86","0.001","96","0.001","78","0.001","89","0.001",""
"... 8142","89","0.001","103","0.002","85","0.001","75","0.001","78","0.001","73","0.001","73","0.001",""
"... 8143","97","0.001","101","0.001","83","0.001","90","0.001","97","0.001","98","0.001","83","0.001",""
"... 8152","1213","0.018","1149","0.017","1108","0.016","1151","0.017","1092","0.016","1137","0.017","1110","0.017",""
"... 8153","438","0.006","417","0.006","475","0.007","440","0.007","426","0.006","422","0.006","389","0.006",""
"... 8154","418","0.006","404","0.006","439","0.007","398","0.006","393","0.006","390","0.006","402","0.006",""
"... 8155","348","0.005","337","0.005","335","0.005","356","0.005","344","0.005","363","0.005","359","0.005",""
"... 8156","67","0.001","74","0.001","82","0.001","68","0.001","72","0.001","73","0.001","74","0.001",""
"... 8157","279","0.004","270","0.004","259","0.004","243","0.004","251","0.004","276","0.004","241","0.004",""
"... 8158","11","0","11","0","13","0","11","0","15","0","12","0","11","0",""
"... 8162","137","0.002","131","0.002","135","0.002","138","0.002","138","0.002","156","0.002","121","0.002",""
"... 8164","20","0","20","0","24","0","29","0","22","0","18","0","28","0",""
"... 8165","142","0.002","145","0.002","137","0.002","119","0.002","160","0.002","128","0.002","145","0.002",""
"... 8166","117","0.002","116","0.002","86","0.001","107","0.002","98","0.001","106","0.002","110","0.002",""
"... 8172","241","0.004","210","0.003","256","0.004","210","0.003","247","0.004","212","0.003","207","0.003",""
"... 8173","62","0.001","49","0.001","64","0.001","70","0.001","68","0.001","78","0.001","84","0.001",""
"... 8174","52","0.001","49","0.001","77","0.001","77","0.001","56","0.001","51","0.001","43","0.001",""
"... 8175","17","0","24","0","25","0","33","0","19","0","17","0","29","0",""
"... 8180","1147","0.017","1131","0.017","1117","0.017","1103","0.017","1111","0.017","1104","0.017","1104","0.017",""
"... 8181","165","0.002","158","0.002","185","0.003","164","0.002","165","0.002","179","0.003","157","0.002",""
"... 8182","65","0.001","78","0.001","76","0.001","66","0.001","76","0.001","66","0.001","69","0.001",""
"... 8184","186","0.003","193","0.003","204","0.003","193","0.003","208","0.003","220","0.003","200","0.003",""
"... 8185","103","0.002","88","0.001","117","0.002","113","0.002","107","0.002","120","0.002","113","0.002",""
"... 8187","100","0.001","86","0.001","100","0.001","80","0.001","82","0.001","93","0.001","89","0.001",""
"... 8192","207","0.003","204","0.003","214","0.003","213","0.003","233","0.003","208","0.003","203","0.003",""
"... 8193","166","0.002","182","0.003","176","0.003","196","0.003","154","0.002","189","0.003","190","0.003",""
"... 8194","23","0","35","0.001","28","0","22","0","31","0","26","0","28","0",""
"... 8195","18","0","15","0","18","0","7","0","12","0","15","0","10","0",""
"... 8196","49","0.001","52","0.001","46","0.001","50","0.001","33","0","40","0.001","42","0.001",""
"... 8197","189","0.003","167","0.002","207","0.003","192","0.003","192","0.003","174","0.003","205","0.003",""
"... 8200","42","0.001","49","0.001","44","0.001","39","0.001","32","0","47","0.001","47","0.001",""
"... 8203","7","0","8","0","3","0","4","0","4","0","3","0","1","0",""
"... 8207","5","0","7","0","11","0","8","0","6","0","9","0","9","0",""
"... 8208","0","0","0","0","0","0","2","0","0","0","1","0","1","0",""
"... 8212","23","0","30","0","30","0","33","0","36","0.001","34","0.001","36","0.001",""
"... 8213","5","0","5","0","5","0","3","0","4","0","6","0","6","0",""
"... 8214","0","0","2","0","0","0","0","0","2","0","1","0","0","0",""
"... 8215","7","0","1","0","7","0","3","0","4","0","4","0","5","0",""
"... 8217","1","0","2","0","4","0","0","0","0","0","1","0","0","0",""
"... 8219","0","0","1","0","1","0","1","0","0","0","0","0","1","0",""
"... 8222","4","0","9","0","7","0","5","0","6","0","3","0","9","0",""
"... 8224","1","0","1","0","2","0","3","0","2","0","1","0","2","0",""
"... 8225","0","0","0","0","1","0","0","0","1","0","3","0","0","0",""
"... 8226","2","0","5","0","2","0","6","0","6","0","5","0","4","0",""
"... 8231","2","0","0","0","2","0","0","0","2","0","0","0","0","0",""
"... 8232","1","0","0","0","0","0","0","0","0","0","0","0","2","0",""
"... 8233","0","0","1","0","0","0","1","0","1","0","1","0","0","0",""
"... 8234","0","0","0","0","1","0","1","0","1","0","2","0","0","0",""
"... 8235","0","0","1","0","1","0","0","0","2","0","1","0","2","0",""
"... 8236","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 8239","2","0","4","0","0","0","3","0","3","0","1","0","3","0",""
"... 8240","2","0","6","0","1","0","0","0","0","0","3","0","2","0",""
"... 8241","0","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 8242","1","0","2","0","2","0","0","0","1","0","1","0","0","0",""
"... 8245","117","0.002","116","0.002","92","0.001","85","0.001","101","0.002","107","0.002","86","0.001",""
"... 8246","45","0.001","59","0.001","43","0.001","53","0.001","55","0.001","50","0.001","53","0.001",""
"... 8247","28","0","40","0.001","40","0.001","40","0.001","43","0.001","43","0.001","44","0.001",""
"... 8248","48","0.001","37","0.001","43","0.001","35","0.001","38","0.001","45","0.001","33","0",""
"... 8252","2","0","2","0","3","0","4","0","2","0","7","0","3","0",""
"... 8253","5","0","3","0","2","0","4","0","4","0","2","0","2","0",""
"... 8254","1","0","1","0","2","0","3","0","1","0","2","0","1","0",""
"... 8255","1","0","1","0","0","0","1","0","1","0","0","0","2","0",""
"... 8259","3","0","3","0","0","0","0","0","1","0","3","0","2","0",""
"... 8260","4","0","3","0","0","0","5","0","5","0","3","0","4","0",""
"... 8261","0","0","0","0","1","0","0","0","0","0","1","0","1","0",""
"... 8262","0","0","1","0","0","0","4","0","1","0","1","0","1","0",""
"... 8264","0","0","0","0","0","0","1","0","3","0","2","0","3","0",""
"... 8265","0","0","0","0","1","0","1","0","1","0","0","0","1","0",""
"... 8266","4","0","4","0","2","0","1","0","3","0","5","0","2","0",""
"... 8267","0","0","1","0","0","0","0","0","0","0","2","0","0","0",""
"... 8269","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 8272","2","0","2","0","3","0","3","0","3","0","1","0","2","0",""
"... 8274","1","0","2","0","2","0","1","0","1","0","0","0","3","0",""
