"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_12345","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=8.144"
"... Sex#M","32978","0.477","32982","0.476","32994","0.479","32377","0.473","32536","0.474","32566","0.476","32644","0.478",""
"... Sex#W","36219","0.523","36331","0.524","35862","0.521","36117","0.527","36150","0.526","35807","0.524","35694","0.522",""
"zivilstand","","","","","","","","","","","","","","","X2=58.154"
"... (null)","1","0","3","0","3","0","5","0","1","0","5","0","5","0",""
"... Civil stat#G","250","0.004","248","0.004","260","0.004","232","0.003","236","0.003","244","0.004","241","0.004",""
"... Civil stat#GGP","33","0","41","0.001","45","0.001","25","0","30","0","28","0","42","0.001",""
"... Civil stat#GPS","61","0.001","67","0.001","62","0.001","58","0.001","49","0.001","51","0.001","56","0.001",""
"... Civil stat#GRP","1","0","0","0","0","0","1","0","0","0","1","0","1","0",""
"... Civil stat#GTP","1","0","4","0","6","0","2","0","2","0","3","0","2","0",""
"... Civil stat#H","20359","0.294","20377","0.294","20124","0.292","20288","0.296","20096","0.293","20092","0.294","20071","0.294",""
"... Civil stat#L","38132","0.551","38417","0.554","38236","0.555","37770","0.551","38070","0.554","37735","0.552","37950","0.555",""
"... Civil stat#S","7332","0.106","7162","0.103","7219","0.105","7138","0.104","7180","0.105","7200","0.105","7055","0.103",""
"... Civil stat#U","2","0","1","0","1","0","6","0","1","0","1","0","0","0",""
"... Civil stat#W","3025","0.044","2993","0.043","2900","0.042","2969","0.043","3021","0.044","3013","0.044","2915","0.043",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=60.932*"
"... (null)","49138","0.71","49363","0.712","48898","0.71","48783","0.712","49005","0.713","48872","0.715","48960","0.716",""
"... CHResidenc#A","0","0","0","0","1","0","0","0","1","0","0","0","0","0",""
"... CHResidenc#B","5003","0.072","4935","0.071","4961","0.072","4940","0.072","4874","0.071","4928","0.072","4760","0.07",""
"... CHResidenc#C","14853","0.215","14835","0.214","14796","0.215","14572","0.213","14608","0.213","14387","0.21","14432","0.211",""
"... CHResidenc#D","0","0","0","0","0","0","0","0","2","0","1","0","0","0",""
"... CHResidenc#F","155","0.002","142","0.002","164","0.002","146","0.002","163","0.002","155","0.002","145","0.002",""
"... CHResidenc#G","3","0","1","0","5","0","9","0","1","0","6","0","5","0",""
"... CHResidenc#L","44","0.001","36","0.001","28","0","42","0.001","27","0","20","0","34","0",""
"... CHResidenc#N","1","0","1","0","3","0","2","0","5","0","4","0","2","0",""
"hh_size","","","","","","","","","","","","","","","X2=68.998"
"... 1","32225","0.466","32199","0.465","31996","0.465","31642","0.462","31747","0.462","31744","0.464","31818","0.466",""
"... 2","10630","0.154","10733","0.155","10439","0.152","10758","0.157","10659","0.155","10604","0.155","10792","0.158",""
"... 3","8756","0.127","8680","0.125","8728","0.127","8626","0.126","8544","0.124","8633","0.126","8561","0.125",""
"... 4","11076","0.16","11194","0.161","11230","0.163","10926","0.16","11289","0.164","11161","0.163","10791","0.158",""
"... 5","4943","0.071","4951","0.071","4944","0.072","5011","0.073","4844","0.071","4736","0.069","4854","0.071",""
"... 6","1158","0.017","1160","0.017","1136","0.016","1135","0.017","1177","0.017","1144","0.017","1099","0.016",""
"... 7","254","0.004","253","0.004","222","0.003","259","0.004","270","0.004","223","0.003","277","0.004",""
"... 8","80","0.001","72","0.001","81","0.001","63","0.001","73","0.001","65","0.001","71","0.001",""
"... 9","27","0","28","0","36","0.001","30","0","35","0.001","26","0","26","0",""
"... 10","18","0","16","0","12","0","18","0","18","0","13","0","20","0",""
"... 11","15","0","14","0","14","0","18","0","17","0","13","0","13","0",""
"... 12","11","0","10","0","13","0","6","0","9","0","9","0","11","0",""
"... 13","4","0","3","0","5","0","2","0","4","0","2","0","5","0",""
"hasel","","","","","","","","","","","","","","","X2=8.578"
"... (null)","47269","0.683","47573","0.686","47109","0.684","46984","0.686","47076","0.685","46869","0.685","47112","0.689",""
"... 0","12540","0.181","12500","0.18","12476","0.181","12349","0.18","12395","0.18","12288","0.18","12212","0.179",""
"... 1","9388","0.136","9240","0.133","9271","0.135","9161","0.134","9215","0.134","9216","0.135","9014","0.132",""
"hassh","","","","","","","","","","","","","","","X2=17.7"
